,countryname,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
0,Denmark,1,99.0,81.51191205317434,88.6067856002975,74.84666032595347,63.66596327736605,67.02066065045496,75.04156277760822,56.119472121365284,78.74626303507853,95.11234679188851,83.65193373679222,71.23804586280241,50.119200737594866,64.58832355117931,91.04657532684799,90.15884982094069,66.83755466505701,77.12841911149084,HI,nor_eu
1,Iceland,2,99.0,78.99797493685573,90.90042908441468,75.42002821772391,64.22547356722995,66.55701346268472,94.90338149584456,63.610834465031765,65.38356413189851,87.07583198688626,77.0219749133522,71.86787011241155,48.10400726283407,49.596315058369065,58.267176446113346,87.99778531136117,43.818751583399035,73.75162706876765,HI,nor_eu
2,Czech Republic,3,99.0,74.58562182515315,85.18448803683522,61.616948715949185,49.4114717577733,66.88922982541152,70.50223856192642,51.71592316937284,47.27884389526001,90.89088247275417,70.0071927135483,82.82898188231462,39.46697006581828,65.22572479204658,80.49617053775033,74.01432923934037,34.70190398519736,67.44857104835876,HI,east_eu
3,Hungary,4,95.69999999999999,76.92742055397555,77.97284201153283,60.34324868210833,48.095316907977214,66.33641585248425,71.27501416957483,46.31621598526078,40.59132482554794,65.3867880197373,63.020887805379836,63.68182527298668,45.73142621622744,66.02250294539388,69.32297701199015,64.0372291976407,37.45804309031416,62.36924214047648,HI,east_eu
4,Luxembourg,5,95.69999999999999,73.64646177064515,88.06695102092363,67.61361071604342,52.57836423992883,66.13147518206823,70.68758499655596,58.61197629495802,60.22698383821559,82.51923653706274,84.10775194432901,72.20749564161922,26.512685705701,56.4887902242708,64.665788440252,89.25902633356507,61.40148349349837,69.60988601944989,HI,wes_eu
5,Finland,6,95.69999999999999,73.57802772102274,89.30367371818731,75.8699895863689,56.077855643643,66.20588839135625,75.49694430875475,50.60130880723714,86.06300350270875,93.48677187809669,85.89937120657503,67.95009052687045,40.94598048416378,72.53107049313117,70.83294505048286,95.9036949061316,51.21800956378843,75.52768724464511,HI,nor_eu
6,Austria,7,92.4,83.58710930585009,83.29403175893874,63.08725524620758,49.61415772265227,67.07472333059197,76.9878790963426,59.01770494980489,65.8691117247898,86.50102604266105,75.28232121901578,63.40721161527174,42.460878385883966,58.10172211183791,63.07876435922437,87.05899112944657,48.46274036350068,70.04786179966229,HI,wes_eu
7,France,8,92.4,79.19461897194918,84.07731203127923,69.38972559092379,52.65524915297881,66.76477756110934,70.1750310832663,49.942519012178366,63.49616917027762,78.16314267198987,80.1066826308962,72.02039928201829,46.547667562198605,60.0512057791468,69.87293532575677,81.72510085319331,49.97463173606695,69.70769384500123,HI,wes_eu
8,Netherlands,9,92.4,78.7930158363524,89.19731218844568,74.47184499288377,57.78214762848122,66.33429137033092,69.27779703731481,57.27692892260603,70.25805654950413,87.56848337376624,83.05831799967076,74.84167323483466,63.45084533899063,54.823660392477336,78.22263737844953,91.61060551000922,56.215635517899415,74.13226657069613,HI,wes_eu
9,Slovak Republic,10,92.4,75.01934010970386,83.05545444821952,56.522079623154355,51.18391976995103,66.57730493815609,71.82751977788112,43.8512185732763,40.99700443244036,78.82200116545603,62.30973451528348,67.99058557608097,44.038707214728745,63.37731977418598,64.91271056208682,66.35702373129051,35.63188440846441,62.9951412024408,HI,east_eu
10,Norway,11,92.4,69.49012621870197,90.96846707043724,74.5397801836988,65.48937638922105,66.30810101847194,82.78378996233863,60.44959233872378,65.7879830647145,91.06812378281705,88.61187867597505,56.30565564770338,43.21717564641817,73.89815970685376,76.70493304064283,93.68957237625166,62.045781005009566,75.42066826730597,HI,nor_eu
11,Lithuania,12,89.76,72.58973485366927,80.24295166485082,62.549615417258934,57.0336766987779,62.1391401228768,74.6685505524934,49.402667428482886,41.28207475232058,68.23470828795158,67.70048577991341,68.33591298647848,47.27612809060161,64.97118003793949,87.30698883968864,66.19767697735617,32.66306450703275,64.01450785703648,HI,nor_eu
12,Latvia,13,89.76,67.51898596817975,77.57991577760602,62.5779216296379,55.12441676318849,62.046681549669906,74.96518981661904,49.76718001091953,41.08252254075218,64.91535991107942,67.7768474295304,69.75739877373597,56.37077651590852,75.1217371813917,81.33091717379477,68.8445215935068,30.93577922776299,64.21075053700913,HI,nor_eu
13,Germany,14,89.1,82.9604747858871,87.2659075540945,69.24044606010953,56.97792857126518,67.04443046577758,72.56948175609354,62.065782896639284,69.6685763271512,85.2176965878566,79.42661893023967,82.49055280877799,42.34804841607887,56.78446723266234,77.36972606550175,88.28858198212468,53.09539889668783,73.25021899086535,HI,wes_eu
14,Ireland,15,89.1,81.16673025518575,84.64771343715657,75.9838184893401,55.105790716265766,62.14572720838304,73.30484894512048,48.84819354164238,55.7752366435309,67.52256958705614,89.12016556233534,54.250135374229075,44.693391432605964,61.90573033355351,86.4353484193819,88.14767817580137,44.63875068015124,69.6683085158672,HI,nor_eu
15,Sweden,16,89.1,77.41624456084996,92.78663879202742,67.85307243090615,62.63245739567621,66.76524145514233,79.36796249062458,56.911857206643106,85.22337458350317,97.3552750071233,81.35423529606145,81.92782991156785,46.1725962845025,67.29039363177506,75.286406637696,91.44266183030916,73.88371782192968,77.61968659827836,HI,nor_eu
16,Slovenia,17,89.1,72.00018562596678,83.6491777666929,64.73115315377296,59.29538663003391,66.38969464592067,71.4258556293481,51.444057825279536,52.14592831916108,84.1528968742735,73.46242087234616,80.3387359308211,42.7598340323132,76.75428974757254,74.95704322167386,76.3918620708612,40.63101324485823,68.89979839648147,HI,sou_eu
17,Singapore,18,86.46000000000001,72.15518071107601,87.01625700822837,70.8894379600628,50.764843590513976,67.09321864708556,77.4548071652742,60.49136929687317,77.85579819060834,84.50650858215,79.62015943721433,73.99410389698028,51.05642772208941,43.18585299148591,57.99745723909778,93.9167825552857,37.00584996283136,70.90477013465267,HI,southeast_as
18,Malta,19,86.46,68.60780116822808,84.67964575630384,60.777530914336864,46.88766359330599,68.07070572958145,73.45277871628255,46.8141639207837,40.18156903273854,73.066539626271,67.75285865353428,62.24763601733184,46.77074806931441,69.77658927750404,70.89553476536956,77.27160528023047,38.175411775117226,64.35789151683416,HI,sou_eu
19,Belgium,20,85.8,84.3018091388637,87.43274081437681,73.25507549783241,61.334113766279714,67.35115768302249,69.07089762792917,49.67699975869073,61.4513869441716,80.28223859839085,86.59039015253393,76.9490479970829,45.96075492728262,52.27155431944228,69.89026251834774,82.24903319238797,48.04778194556249,70.83920819244447,HI,wes_eu
20,United Kingdom,21,85.8,78.14738196393768,85.76233583688928,74.20760761166149,50.231514859869876,66.81861444554234,70.11052182391074,57.631634289983424,62.54404433631312,69.53044231342092,83.96040033226281,79.83974450415337,46.76641782517452,54.72616254141799,62.82251214968335,89.16032368521803,49.560621230557224,70.2657225134507,HI,nor_eu
21,Switzerland,22,85.8,77.26623753655228,89.31236551557491,70.35906011365024,51.31955542690579,67.02183091321156,74.5620547315617,61.88995868465449,75.10379052411038,82.12613496560897,78.2686403306194,71.09726313040376,45.99892103549033,59.78331328776712,71.64874650296268,94.74954978898813,50.69830193868963,73.24964550864108,HI,wes_eu
22,New Zealand,23,85.8,72.33283022576478,87.13887642971991,78.77587310564608,61.15767074242491,66.05484442923036,79.97100920424752,55.367900874919094,54.114162650642854,74.79739130821012,96.07179719180017,66.24463096811489,47.901877877783974,51.369724208345474,54.83560499440193,87.83635339781593,40.126014142542715,69.8893206723145,HI,oceania
