,country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
0,Austria,1,83.43279020236008,79.47339754755407,91.17995622867812,77.22260765491089,59.87736996341057,77.93248765412237,83.01172227963072,78.43596543754182,64.34328176569474,72.16977102195479,79.58143516028753,52.75313897741874,35.585782582628994,60.9184578831677,75.73100537994034,89.59038540056044,57.14690133156933,73.81772319975971,HI,wes_eu
1,"Korea, Rep.",2,83.43279020236008,78.42677081238847,90.72677113285285,90.07173014387845,36.74537794014919,74.56458169360624,74.52921018924573,63.90494974065086,74.88758463846723,73.27924810258601,72.81666781242551,69.03810079889246,29.675491887777596,53.93695303870936,59.781496502217806,77.7293658544252,52.75500983833854,71.04080350080459,HI,east_as
2,Denmark,3,83.43279020236008,78.35940090490165,93.45093503071377,84.7012515377677,74.56905696541486,77.03896199279245,81.17599681827538,76.00307945148754,77.83252628062468,87.46876170155701,70.02607469389363,54.03031553895528,56.382273186570714,46.9240743432199,86.29869484942563,91.54125657688249,83.2719168599633,78.40587104735673,HI,nor_eu
3,Germany,4,83.43279020236008,78.24370407737048,92.0219866975133,81.59314911046116,63.43917424315545,78.21131984581764,77.19282018986858,80.08599821637247,67.92350577176857,77.34719677212134,79.16673885112402,58.853849350760775,35.20453684968611,53.825601391363094,83.65572227154713,88.40937845322551,58.02366019911651,74.93027656036506,HI,wes_eu
4,Belgium,5,83.43279020236008,77.450865034616,92.04816630534769,82.28822902256599,75.06832630121103,76.10240189477051,75.85967724653194,66.6188589002158,63.59372534671937,71.55500507631642,69.87569452713188,60.210737176066274,29.6623791478046,58.5830258263455,77.13958225517825,87.60976240184243,56.40646515451352,73.30052357641007,HI,wes_eu
5,Japan,6,83.43279020236008,76.6198782324003,92.7748256588187,95.55690399517357,44.70343673218443,70.69211789821051,75.17832360162937,83.34178100465745,78.85702297755611,74.81705229230194,80.2207847522653,60.571498965992795,31.349190370602688,63.91019397922953,74.60278891590137,88.39535891186976,48.70286287220826,74.92282650100495,HI,east_as
6,Ireland,7,83.43279020236008,76.31708026236988,92.77277686453122,86.73797564021709,60.86185538433717,66.03978234991705,75.68934889251263,66.17937899216292,57.324300925295184,74.83212655458856,83.86177761109441,50.15793707227327,38.43865415077457,52.93171885971638,83.21741778312757,90.26443498672712,40.54436695455905,71.6187481229909,HI,nor_eu
7,France,8,83.43279020236008,76.02619960758899,91.12216098512094,79.82963611764454,62.9295791111025,75.03836548409414,77.84087895490207,63.76101441130786,63.49598254641356,53.97246279752383,76.71392134499081,56.36376339730829,31.134915282274154,62.570285710931145,80.94747338039613,82.94945230565094,64.53315138515384,72.05210801700912,HI,wes_eu
8,United States,9,83.43279020236008,74.6634861051787,90.7959655884144,85.13845502362486,57.03121952792329,69.29125838347079,76.01645679358825,72.84313392768914,69.36105302144261,63.1574753701899,73.65250852839436,53.790711335210105,19.917613363581435,50.8639545831803,55.18039534229757,76.17837096743935,47.43674915676592,68.63485350898257,HI,north_am
9,Hungary,10,83.43279020236008,74.06877660728945,83.30908842988377,69.32918702517252,58.01597752395029,69.51070029795413,73.54010985186379,64.42593113152024,38.05558186524748,58.2712527313276,80.61262303198424,65.9365862827526,30.310291648331532,55.6776502892526,84.82474316201463,70.24011146783657,57.489142670343526,66.4956638874944,HI,east_eu
