,Country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
0,Iceland,1,98.86498005410682,64.96779297562249,93.96291869370582,71.72395416311763,63.963996789431825,70.69682505047999,99.7412910460123,78.46244179474317,50.19161895878509,96.2148810593834,74.6430121955527,50.241965287167694,70.46379802478499,41.49379168838405,64.4608477992227,92.4543515083897,51.563075707010434,73.18090903759679,HI,nor_eu
1,Denmark,2,98.54238890367988,74.71736731744875,90.87119002053909,75.78724039388048,69.4593325845553,80.45880382107248,84.01759111370075,67.1835853262104,65.32290298761345,94.43978299601254,76.37221072211013,45.29903304418078,89.47289584152122,54.860616298757066,95.82109262865994,92.78170104730239,68.54163425014904,77.82022383788681,HI,nor_eu
2,Czech Republic,3,98.20588250973617,66.56628313071062,82.87532414766422,60.79691904695835,52.64945512198397,75.42913381617187,77.02603086360934,68.04300463597401,49.258789555719446,93.27274847398093,83.01969299080572,65.651221709341,66.12523174070112,57.97822023424465,95.3021283978732,83.12538924887004,49.251270395483935,71.15816463955393,HI,east_eu
3,Finland,4,97.86449508714196,60.35028400198569,90.77692810696036,82.882512731496,62.117885236915015,78.9215930331212,87.9056001372739,63.45294358884774,61.163265024209295,93.75381182337287,86.21033464824345,53.07823253549138,76.6318940448467,60.07451439161924,88.21824921078723,94.39139665207347,58.94380644738685,76.30052534858724,HI,nor_eu
4,Norway,5,91.31496958020018,60.49842793363496,93.94922869561331,76.92302954349118,69.55413134604046,73.2594069271582,93.17014308931242,66.5376699478585,53.451424085141205,95.50637362637362,82.2672225602349,37.777145039718185,75.51704377321178,69.70154296605402,78.68817489856164,91.33663382721855,74.15976870961909,75.17381839657098,HI,nor_eu
5,Netherlands,6,91.10939289913033,70.03174236104175,89.7279687084461,74.76954213297228,56.767430195242206,83.79502186717612,74.52558293808026,70.57926045518973,56.32376442062427,91.99957931925617,86.60384145862722,50.30267530415455,82.22001748082857,46.24197681112851,93.27787353649599,89.94715011529125,36.18511250847165,73.8001782322441,HI,wes_eu
6,France,7,91.07972814567636,73.8960473765782,88.03766245483428,66.37189768378198,61.174531835695255,76.7209375079642,78.11344793109133,57.101278180899975,54.83917797839691,88.42717081595582,80.72648066533394,52.80412479398236,68.79625866457867,68.5601708665787,86.51622055559271,84.02534274762672,60.78519919498011,72.65401082385242,HI,wes_eu
7,Slovenia,8,90.071674134813,65.36550106599793,86.09550341049666,74.55737468785293,60.84952069250281,68.81376500758974,79.20992428042439,65.89098040582739,48.43791337106643,90.67262413865045,87.24698460435678,63.217105334430244,73.14574248325731,47.679029057931615,92.9632119724345,87.8936558090534,57.123083052292806,72.71118765419337,HI,sou_eu
8,Slovak Republic,9,89.97199076665548,67.25588478136899,83.01042428118727,50.61902447172241,50.17069747325454,69.89847017324198,76.52531718891932,58.80276869979962,41.033420969304046,92.3794469255012,85.56071915948466,64.12875134999933,70.29482082472563,59.19143133430649,91.18855197800498,80.7521388529771,48.31735391531895,68.18045719706822,HI,east_eu
9,Switzerland,10,89.10085392130209,67.1847235237726,90.65804282256354,72.68856478130911,59.95670480841053,83.20126388156412,81.99235031964045,70.32334257740874,65.7526454481038,74.03087064307688,94.58356027308488,42.15717112194232,75.66335284294314,47.968451560711465,76.33696232084144,90.00173565655022,33.70626891366372,72.88974721105404,HI,wes_eu
10,Sweden,11,88.72075718191702,68.12960011304467,93.56451216320544,72.56683609027606,68.9772066057619,80.62022050261903,91.68709623447413,70.0910814760577,67.83620112902994,87.69577645193726,86.56494594725375,57.101730678716834,80.9323849755506,48.25110857371973,82.95981295088967,89.78566922613452,77.4712559152153,77.75085760500913,HI,nor_eu
11,Belgium,12,87.35392169406346,74.34993818692845,86.8616473344671,68.45746179234933,65.41569341732163,81.07202710679762,75.70468063370848,60.58471948793575,57.5125146361082,89.81704624021927,80.72944348079784,56.993606125602305,64.93941440735843,44.37042104110152,92.99762137791613,87.97068372476483,57.523661117377195,73.11686873695017,HI,wes_eu
12,Ireland,13,87.15182382387279,74.42717346069603,90.26196003429989,76.77281366695152,53.001463018848995,67.70849217586444,75.77344241292907,67.56194062160056,49.555263140333984,85.29857432661923,80.72218115265741,51.38619716691223,72.62433582568514,58.89339198979831,93.40161584010539,90.52302334746545,38.001656870927526,72.19769535707267,HI,nor_eu
13,Austria,14,86.92945416207648,74.64515953411035,87.5805312038429,67.77498805910835,54.55226988134451,82.81097428566797,84.46136488858201,66.18431738107427,55.87693847681991,86.17941578219501,89.55514821601982,50.172242503584584,74.26998322319312,52.70586771793735,82.46051234373336,91.1186721666598,54.28670553109642,73.354187422556,HI,wes_eu
14,Malta,15,86.80542912128628,62.005566089145965,84.6896562399204,63.75066010378704,49.57193723373455,76.95242292017932,79.57989791995088,67.2972890274329,37.68016718396673,85.862020760347,83.67067157643943,57.845936141673725,69.33676755642192,55.17615264960952,92.5290526086728,81.87210133554402,53.6172046441475,69.2706076829182,HI,sou_eu
15,Singapore,16,86.45865531972542,61.465271278355765,88.91202982633942,73.61720662172638,51.39975789023422,81.82528467301145,83.07447565967948,65.49962515874486,58.77645228087242,79.64830110865249,88.08230474312097,45.44877720948999,66.76803939984462,39.6834144342594,64.58499731807458,90.96778692328004,32.27059928638444,69.78886964560505,HI,southeast_as
16,Germany,17,86.33072959540301,74.53961530448322,86.99544635630774,69.77794896784368,57.34718297336408,83.4434304607735,77.6248504830793,69.8954286112643,56.7702038481557,83.19785850422642,91.15973524031291,53.87861578535404,72.27640085460997,47.28873468158195,90.37881879262031,88.1737901839695,61.11534147971206,73.97643073991401,HI,wes_eu
17,Hungary,18,86.03121467212439,69.71280791012416,79.66158792724488,52.53972443960757,52.008031199626025,68.02579559919006,77.75751197440384,62.01385332854178,42.771080932910934,82.45926159301645,82.5921384030847,65.3319001538086,67.26407089555543,59.749221390726454,90.81573061714461,76.53474918071659,46.05055991743836,67.3699092474163,HI,east_eu
18,Poland,19,85.92366646628265,61.93279918241713,81.18030218824892,74.7949220581388,59.22793645130716,70.62249996824649,76.1725815593235,63.085082359755084,47.92284449108449,75.76470396635291,80.33206846800019,68.69821322126079,67.62823321188284,50.1650543211728,94.62320710420423,81.66821847914557,46.014613203227555,69.90771966318795,HI,east_eu
