country,sdg1_wpc,sdg2_crlyld,sdg2_snmi,sdg2_obesity,sdg2_stunting,sdg2_undernsh,sdg2_wasting,sdg3_births,sdg3_fertility,sdg3_lifee,sdg3_hiv,sdg3_matmort,sdg3_ncds,sdg3_neonat,sdg3_pollmort,sdg3_smoke,sdg3_swb,sdg3_tb,sdg3_traffic,sdg3_u5mort,sdg3_uhc,sdg3_vac,sdg4_literacy,sdg4_pisa,sdg4_primary,sdg4_schlyrs,sdg4_tertiary,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_freshwat,sdg6_scarcew,sdg6_sanita,sdg6_water,sdg7_co2twh,sdg7_elecac,sdg7_cleanfuel,sdg7_ren,sdg8_accounts,sdg8_adjgrowth,sdg16_clabor,sdg8_empop,sdg8_unemp,sdg8_yneet,sdg9_infrqual,sdg9_intuse,sdg9_lpi,sdg9_mobuse,sdg9_patents,sdg9_articles,sdg9_qs,sdg9_rdex,sdg9_rdres,sdg10_adjgini,sdg10_justice,sdg10_palma,sdg11_pipedwat,sdg11_pm25,sdg11_rentover,sdg12_ewaste,sdg12_msw,sdg12_mswrecycl,sdg12_prodnitro,sdg12_so2prod,sdg12_reacnitro,sdg12_so2import,sdg6_wastewat,sdg13_ccvm,sdg13_co2import,sdg13_co2pc,sdg13_ecr,sdg14_biodiv,sdg14_cleanwat,sdg14_cpma,sdg14_fish,sdg14_fishstocks,sdg15_cpfa,sdg15_cpta,sdg15_forchg,sdg15_biofrwter,sdg15_redlist,sdg16_cpi,sdg16_goveff,sdg16_homicides,sdg16_prison,sdg16_prs,sdg16_safe,sdg8_slavery,sdg16_u5reg,sdg16_weaponsexp,sdg17_govex,sdg17_govspd,sdg17_secrecy,sdg17_cohaven
Afghanistan,37.1855065520175,2.0206,n.d.,2.9,59.2999992370605,26.8,8.60000038146973,38.6,71.2034,52.3,0.03,396,30.54,35.5,113.0,n.d.,4.2,189.0,15.5,91.1,33.6,68,58.1549,n.d.,n.d.,3.55,n.d.,57.509157509157504,27.1304347826087,20.05044010925527,27.7,n.d.,31,16.397015828045205,31.9,55.3,n.d.,89.5,19.480961561203,10.8075248912667,12.2,-7.405713777545358,29.4,n.d.,8.54,n.d.,n.d.,8.26,1.86,5.97,n.d.,0.0008636845107145767,0,0,n.d.,27.8,n.d.,n.d.,31.2483802,46.1,n.d.,0.3,n.d.,n.d.,6.449887146661044,0.8811841645580595,-44.772748054597415,0.5140298044043196,0,0.12,0.088798831311643,0.6931834107390206,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.11303635,6.14128518125,n.d.,0.049522969755632515,0.837239776037846,15,n.d.,6.6,74,n.d.,36,0,37.4,0.0,12.986623764038086,n.d.,n.d.,0
Angola,27.765330983168003,0.8887999999999999,0.9309210231308035,10.2,29.2000007629395,14.2,8.19999980926514,49.9,161.9322,45.9,1.6,477,24.18,48.7,104.0,n.d.,n.d.,370.0,26.9,156.9,60.2,55,72.92679,n.d.,84.01231,4.979858432,n.d.,73.16878980891718,n.d.,82.68228838116774,36.8,n.d.,0.5,2.136119556843755,51.6,49,2.0975145652173914,32.0,44.2952215671539,57.1752699706323,40.46,-2.7253838505003327,23.5,n.d.,6.579,n.d.,2.2496579995980985,12.4,2.14,19.33,n.d.,0.0009638265654654459,n.d.,n.d.,n.d.,42.72,n.d.,n.d.,31.6032535,29.1,n.d.,3,0.48,n.d.,13.061050173646121,0.8244214485752528,-1.0710585859224768,0.2756142081691217,0,0.08,-0.4370627351815606,1.384496389104802,n.d.,85.21,61.95,0.9056848,30.08,5.69,33.3331239166667,28.3673629695652,3.1456226691262397,0.12421322544609806,0.936242105869453,18,2.5429937987980353,9.8,106,2.4242505519219377,n.d.,50,35.6,0.0,6.74595308303833,n.d.,n.d.,0
Albania,0.5428627375824869,4.892600000000001,0.9740224851903222,17.6,23.1000003814697,n.d.,9.39999961853027,99.3,21.8354,68.8,0.004,29,18.81,6.2,171.0,n.d.,4.5,19.0,15.1,14.0,75.0,98,99.0292,n.d.,95.51731,9.64681,n.d.,75.92407592407592,97.0286287265036,68.2926833523234,22.9,n.d.,4.3,5.968013795725469,93.2,95.1,0.8769776595744679,100.0,62.0864123106003,38.2218347471341,48.42,-0.6760919481574312,5.1,n.d.,16.333,n.d.,4.106943526657872,63.252932696931,2.17,40.58,n.d.,0.06336790036191492,0,0.154119998216629,n.d.,28.96,n.d.,n.d.,86.2021073,17.1,n.d.,6.1,0.77,n.d.,15.603600348065276,7.841503462410094,-24.80697393460329,7.8456886119213,5.136225,0.25,0.671204547087958,1.662184825791983,n.d.,93.67,53.49,66.10346966,28.05,n.d.,95.4287126,68.5001329826087,5.04572597121985,0.17457142389834757,0.854644548734403,39,3.6014030882568377,4.0,189,3.4655450563010928,62,80,98.6,0.0,9.42110538482666,n.d.,n.d.,0
United Arab Emirates,0.455969201918657,16.4612,1.2033547967186313,37.2,2.58,5,0.7,100,30.0682,68.3,0.05,6,18.91,3.5,7.5,n.d.,6.8,1.6,10.9,6.8,81.6,94,99.45967,n.d.,93.375,9.5,n.d.,42.69406392694064,121.48200126436784,49.946179508892016,22.5,n.d.,1866.7,40.709510529822374,97.6,99.6,1.7031942912621358,100.0,99.9900000002526,0.133041001442044,86.3,0.876382724027892,0,n.d.,3.691,n.d.,6.344139650330614,91.2434057753709,3.92,91.99,n.d.,0.18574160246850158,32.5,0.699999988079071,n.d.,n.d.,n.d.,n.d.,n.d.,62.2,n.d.,17.2,2,n.d.,65.21020317925394,13.941273710846811,n.d.,58.44900133073859,87.141,0.04,2.127762817246172,18.70823579437915,n.d.,92.42,69.69,20,56.7,n.d.,n.d.,29.9425784588235,n.d.,1.1901413270119015,0.865642392781632,66,5.425441208166789,0.7,229,5.726686885048501,n.d.,80,100,12.473913101312295,n.d.,1.18,n.d.,0
Argentina,0.140037171101875,4.555,0.3432527265286641,26.3,8.19999980926514,5,1.20000004768372,97.04,63.7888,67.6,0.3,52,17.48,6.3,26.0,n.d.,6.4,25.0,13.6,12.5,92.0,89,99.30437,n.d.,99.34679,9.85,n.d.,24.840764331210185,97.86140169276517,63.38215637983497,35.8,n.d.,4.3,0.1807344383230008,96.4,99.1,1.5270897222222224,100.0,99.1223521530628,8.77257826332822,54.1,n.d.,4.4,n.d.,6.557,n.d.,3.1382810299213117,69.40092102179,2.85,67.3,0.20771396997868086,0.1893140826677058,48.1,0.613030016422272,2.88017693706666,42.67,n.d.,n.d.,98.0915359,13.0,n.d.,7,1.22,n.d.,40.37470386709804,9.826636987166763,-239.4475952454772,-1.5592887549065308,7.67,0.05,0.3510410007843108,4.462297979721993,3.93,93.58,83.12,44.1610533588235,50.49,49.36,43.4578822073171,33.2143888405904,12.5858215810009,0.055376907617863916,0.860891303925426,36,2.487872146806911,7.6,160,3.3213786895458512,39,80,99.5,0.0,10.130016326904297,n.d.,n.d.,0
Armenia,2.5341419074957,3.0263,0.8591382265668428,19.5,20.7999992370605,5.8,4.19999980926514,99.5,22.4606,66.9,0.04,25,29.7,7.4,125.0,n.d.,4.3,41.0,18.3,14.1,82.1,94,99.8454,n.d.,96.07425,11.29105,n.d.,59.04761904761905,100.7587907328017,74.55540511303037,10.7,n.d.,37.9,7.36555436352457,89.5,100,0.7148927397260274,100.0,92.5345204770565,6.56787286973008,21.8,-3.57029168326131,3.9,n.d.,16.759,n.d.,4.266522566895736,58.2493322231746,2.29,41.29,n.d.,0.18665246080465425,0,0.240789994597435,n.d.,31.48,n.d.,n.d.,99.6666829,21.2,n.d.,4.6,0.68,n.d.,8.801321628894799,0.7125745079799168,8.174323372080137,4.194594763712753,11.4905,0.05,0.3465721002122133,1.837058918679015,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26.9025455571429,30.5396655631579,0.5930450165766871,0.25935710156417485,0.844591668013393,33,3.6148053429039235,2.0,164,4.137182134076169,83,80,99.6,0.0,6.720649242401123,n.d.,n.d.,0
Australia,0.20902125958717402,2.1372,0.8022048099218276,28.6,1.79999995231628,1.17,0,n.d.,13.844,71.9,0.02,6,9.43,2.2,0.4,13,7.3,6.0,5.4,3.8,91.4,91,n.d.,502.263548431215,97.04311,13.1751,42.8887558,16.915210907541546,103.00154684155649,81.86890273553715,28.7,15.385,3.9,4.360608012468468,100,100,1.5905705957446807,100.0,100.0,8.44266614733211,99.16,-3.1117082473666007,0,72.41407,5.738,11.83160973,4.801109260203792,84.560519347399,3.86,112.86,13.682608583599976,2.0671959210352666,85.3,2.19574999809265,8.98153961906063,34.94,6.541551540913922,1.34,n.d.,5.8,24.654167890548706,20,2.23,1.2226420640945435,86.46530343384144,65.43260235014797,-534.2687151854302,-16.750813023609883,95,0.15,3.2131323377760985,16.3473020462161,2.6,94.85,81.48,68.2348935076904,57.37,62.0648151827033,34.8434723085,53.2283720116336,7.57044156432712,0.2556586484854987,0.828229894468903,79,4.219176283154614,1.0,151,5.835196925456228,66,100,100,17.230477466198565,14.692959785461426,0.29,43.47,0
Austria,0.39709614253045494,7.246,0.3737690330397687,18.4,2.58,1.17,0.7,n.d.,6.786,72.0,0.04,4,12.02,2.1,34.0,24.3,7,7.6,5.4,3.5,89.0,96,n.d.,492.21511915585165,n.d.,11.33397586,30.55072594,15.89327146171694,91.57446808510639,80.79764140131141,30.6,17.729,4.7,7.4807849272657485,100,100,1.0301905084745762,100.0,100.0,34.4505992144591,97.44,3.4835224064351564,0,71.1,6.109,10.43881226,5.913297762735835,83.9263,3.93,68.57,58.71548315766197,1.4188899535637944,52.4,2.98608994483948,9.86755074929499,30.48,4.9730074388947925,0.99,100,16.7,18.85727047920227,22,2.4,1.767791986465454,48.71073313778855,3.9181313555993538,203.51560940675589,20.145885363973967,94.3061733333333,0.02,1.0663703749847642,7.360055782413209,29.27,n.d.,n.d.,n.d.,n.d.,n.d.,67.04947650264,65.0317189974338,4.98615004988366,0.3837745392514653,0.896179235928108,75,4.358151493353636,0.5,95,5.891625440195672,80,100,100,10.803819114827245,16.770313262939453,0.35,53.71,0
Azerbaijan,0.230870997957054,2.3436999999999997,0.7906379266930976,22.5,18,5,3.09999990463257,97.2,60.9936,64.7,0.04,25,23.32,18.2,68.0,n.d.,5.3,69.0,10,31.7,76.5,96,99.956,n.d.,94.14265,11.16,n.d.,69.01287553648069,86.19255413306594,89.75817316489196,16.8,n.d.,34.5,5.4991288398928315,89.3,87,1.3384999565217393,100.0,92.7438706159592,2.84552172971103,30.71,-5.174705272598247,6.5,n.d.,5.073,n.d.,4.799908129374186,77.0,2.64,60.92,n.d.,0.05116387189237619,18.6,0.209910005331039,n.d.,31.79,n.d.,n.d.,89.456318,25.6,n.d.,5.1,n.d.,n.d.,11.922423861120794,9.606300932057906,-68.32468319225538,0.5032402649937034,9.7298,0.16,-0.12785104693380767,3.785068836009171,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,24.5221073263158,39.4243004283019,0.569609659597621,0.19644886849188625,0.91143394824219,30,4.069409128719596,2.5,413,4.19457253879971,77,80,93.6,0.0,8.499043464660645,n.d.,n.d.,0
Burundi,78.03194770239,1.3295,n.d.,2.6,57.5,n.d.,6.09999990463257,60.3,27.8548,52.2,1.1,712,24.29,28.6,106.0,n.d.,n.d.,122.0,n.d.,81.7,65.0,93,87.61798,n.d.,94.14828,2.968889261,n.d.,59.31428571428572,73.25089126559715,101.58343858211836,36.4,n.d.,2.3,0.2105555251609259,48,75.9,n.d.,7.0,1.9999980926514,96.6463198255364,9.89,-7.165849025737408,26.3,n.d.,1.599,n.d.,2.2179923245781348,4.86622446359511,2.03,7.56,n.d.,0.001557430140897743,0,0.12126000225544,n.d.,33.36,n.d.,n.d.,49.4926545,37.1,n.d.,0.2,0.55,n.d.,5.732362963570023,1.0820239044266287,-10.397777633096181,0.5575302014811967,0,0.23,0.06421976688468273,0.0280299206217032,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,52.3131359285714,51.1858303,3.18012534969015,0.008532859814414163,0.921269890791266,20,2.78480954097519,4.0,93,2.7241697123176167,n.d.,50,75.2,0.0,12.950315475463867,n.d.,n.d.,0
