country,sdg1_wpc,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg4_primary,sdg4_schlyrs,sdg4_literacy,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg6_safesan,Population using at least basic sanitation services (%),sdg6_safewat,sdg6_water,sdg6_freshwat,sdg6_scarcew,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg9_intuse,sdg9_mobuse,sdg9_infrqual,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg10_adjgini,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg12_msw,sdg12_ewaste,sdg6_wastewat,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg13_co2pc,sdg13_co2import,sdg13_ccvm,sdg13_co2export,sdg14_cpma,sdg14_biodiv,sdg14_cleanwat,sdg14_fish,sdg14_fishstocks,sdg14_trawl,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_prison,sdg16_safe,sdg16_goveff,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg17_govex,sdg17_govspd,sdg17_govrev,sdg17_cohaven,sdg1_oecdpov,sdg3_incomeg,sdg3_region,sdg3_smoke,sdg4_pisa,sdg4_resil,sdg4_science,sdg4_socioec,sdg4_tertiary,sdg5_paygap,sdg7_ren,sdg8_empop,sdg8_yneet,sdg9_netacc,sdg9_patents,sdg9_rdres,sdg9_womensci,sdg10_elder,sdg10_palma,sdg11_rentover,sdg12_mswrecycl,sdg13_ecr,sdg17_secrecy
Afghanistan,34.5652169743895,23.0,59.2999992370605,8.60000038146973,5.5,1.9817,,396.0,40.0,70.4,189.0,0.02,31.04,261.15,15.2,60.5,68.7942,50.5,62.0,32.252,2.7,,3.5,46.99005,49.0,27.586206896551722,22.457240689744825,27.7,,39.22043,,62.98021,43.67,16.397015828045205,89.5,17.305713891983,,-4.870194604327441,0.0,14.8933124542236,8.83699989318848,10.5957264186601,13.4734957539282,,1.835473,0.0,0.0023199424561934846,0.0,,48.01676483,30.45833333333326,48.0,,0.3,0.0,0.8811841645580595,0.5140298044043196,6.449887146661044,-44.772748054597415,0.299444991,0.088798831311643,0.122,,,,,,,,6.14,0.11,0.84,0.8627927846499274,0.263218734507885,6.55,83.85,20.0,,,42.3,15.0,29.4,0.0,11.96255393322021,,7.5532690891376335,0.0,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.385829797816143,4.9,23.1000003814697,9.39999961853027,21.7,4.7164,0.9740224851903222,29.0,6.2,13.5,16.0,0.001,14.69,135.82999999999998,13.6,77.8,20.6796,99.3,96.0,67.088,4.6,95.06309,9.6,99.2314,17.900000000000006,96.93877551020408,72.79690142664096,27.9,,,,,6.47,5.968013795725469,100.0,67.0786619186401,0.6518109444255029,-2.8636255086037607,80.0,40.0151710510254,13.8669996261597,66.363444701023,57.6265707291136,4.263843536,1.980952,0.0,0.06540575488629514,0.15421,41.77805483341217,17.93662454,92.35678277491968,51.0,0.77,6.1,16.94,7.841503462410094,7.8456886119213,15.603600348065276,-24.80697393460329,1.978763312,0.671204547087958,0.249,890.5537669216947,66.10346966,94.21,53.55,29.98,,86.2669634,68.5,95.43,0.85,5.277415117632248,4.8273787034129905,2.28,206.48,60.0,3.7917094229999995,3.600127379,98.6,38.0,5.1,0.0,9.19457939661072,,17.586503448214984,0.0,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.312487853445854,4.6,11.6999998092651,4.09999990463257,27.4,1.5607,0.827783091054515,140.0,15.6,25.2,70.0,0.012,14.98,42.14,23.7,75.6,10.4216,96.6,91.0,64.214,5.2,97.55012,7.8,93.76733,13.799999999999997,77.6470588235294,22.61994065848058,25.8,,,,93.46643,87.99,7.451477899705338,100.0,99.9900000002526,2.015366307569487,-2.04894235477657,50.0,42.7766265869141,10.0190000534058,42.9455268800332,65.7033660893701,3.45496726,2.577318,18.5,0.1095181575396692,0.06606,31.498444080352783,35.56453306,81.87799045801535,59.0,1.21,4.9,46.11,8.5242364237035,0.699180905973183,10.75698112845453,-13.26489400143535,3.717409901,-0.12144163415126918,0.051,3300.9311608746666,32.93492752,90.18,42.8,66.84,65.20347965,29.615703,38.81,48.95,0.9,8.192238659117972,0.7465070989548682,1.37,156.68,57.99999999999999,3.3417011260000002,3.7682340940000003,99.6,33.0,5.0,0.0,8.55616136422363,,37.18473613970006,0.0,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,1.17,2.58,0.7,25.6,,,,1.1,2.7,6.0,0.055,,11.83,,,,,97.0,81.197,,,10.3,100.0,,99.02912621359222,,32.1,100.0,,,,0.0,,100.0,100.0,,,,,,97.9306371220021,50.4664794710213,,,0.0,0.1022243500989894,,,10.05993572,100.0,,,,98.0,,-10.852231885044034,,,5.832169951,3.7269568646892184,,,,,,,,,19.4,,0.92,0.328111415827722,26.048994563320857,1.21,58.18,,,,100.0,,0.0,0.0,11.12494549693237,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,30.4824831362831,14.0,29.2000007629395,8.19999980926514,8.2,0.9347,0.9309210231308035,477.0,29.3,82.5,370.0,0.819,24.85,171.22,24.4,52.4,154.4722,47.3,49.0,45.981,3.8,77.45058,5.0,77.43113,71.0,,94.04729358353106,38.2,,39.42942,,41.00587,0.68,2.136119556843755,32.0,47.648149728775,2.1634243797204395,-4.394071289827931,50.0,29.3181209564209,8.16699981689453,13.0,13.9702298193036,2.2496579995980985,2.133789,0.0,0.0013570045363863414,,,36.39542768,54.93455151189482,32.0,0.48,3.0,0.0,0.8244214485752528,0.2756142081691217,13.061050173646121,-1.0710585859224768,1.291328315,-0.4370627351815606,0.082,10066.276242818174,0.9056848,87.06,61.99,26.23,10.85,28.9343791,28.37,33.33,0.94,3.9217800296981875,1.0620247758294812,9.65,96.58,46.0,2.5429937987980353,2.4242505519219377,25.0,19.0,23.4,0.0,6.86737599608215,,10.327768935850418,0.0,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.7963818606667399,26.7,2.58,0.7,18.9,1.5925,,,3.8,8.5,3.4,0.113,15.59,21.39,11.5,76.4,44.663,100.0,98.0,62.845,,78.57764,9.2,,17.200000000000003,,,11.1,,,,,8.46,,96.442985534668,99.9900000002526,,-0.4237631388359128,,,,73.0,40.608935946832,,,0.0,0.07725602448421699,,,13.88760103,,,5.5,11.6,,,-0.690677417870457,,,5.377648546,3.607821941227816,,0.0,36.5075412,92.27,65.96,29.42,38.25,,18.96,,0.89,2.581566042854167,18.837548129749734,11.23,364.14,,,,,,0.0,0.0,7.416532082255859,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.142899602177299,3.6,8.19999980926514,1.20000004768372,28.3,5.0965,0.3432527265286641,52.0,6.2,11.1,24.0,0.181,17.12,20.93,14.1,76.3,63.0272,99.6,90.0,61.725,6.0,99.39359,9.8,99.3,11.299999999999997,97.0,64.62390577076366,38.9,,,,,6.64,0.1807344383230008,100.0,99.8575944919139,1.4304271313636538,-4.052150971799443,80.0,48.7084884643555,8.73799991607666,70.9689808206024,78.0501502824681,3.253046036,2.856412,18.5,0.19723390857799422,0.58852,48.92007112503052,13.44396548,99.59379209999375,57.99999999999999,1.22,7.0,7.67,9.826636987166763,-1.5592887549065308,40.37470386709804,-239.4475952454772,4.746797455,0.3510410007843108,0.046,171.44672872159546,44.1610533588235,93.3,83.22,37.74,73.96,60.50421659999999,33.21,43.46,0.86,13.728227527742806,1.9559646033278368,6.53,167.43,40.0,2.8514845372,3.613971948666667,99.5,39.0,4.4,0.0,10.11140615786377,,12.364639174106006,0.0,,,,,,,,,,,,,,,,,,,,,,,
Armenia,1.22899586754258,4.4,20.7999992370605,4.19999980926514,20.2,3.0761,0.8591382265668428,25.0,7.4,13.4,44.0,0.025,23.19,94.96000000000001,15.7,74.8,23.975,99.8,94.0,65.464,4.3,92.07025,11.3,99.8474,17.599999999999994,100.0,72.87548132811212,18.1,,91.58277,,,59.34,7.36555436352457,100.0,99.9712311226176,0.6354588917117834,-1.2135724996938886,80.0,47.7590179443359,18.1870002746582,67.0,52.871872965684,4.277628899,2.216773,0.0,0.17813086361671984,0.25069,45.2290415763855,25.50768535,99.08660994542876,53.0,0.68,4.6,24.01,0.7125745079799168,4.194594763712753,8.801321628894799,8.174323372080137,1.90275891,0.3465721002122133,0.046,25.277873120623113,,,,,,,30.54,26.9,0.84,0.6036395280183917,2.498260076116927,2.45,128.34,77.0,3.6797855856,4.267847061333334,98.7,35.0,8.7,0.0,6.72674933264343,,21.224720326463036,0.0,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.09203921842405739,2.5,1.79999995231628,0.0,29.0,2.0743,0.8022048099218276,6.0,2.2,3.7,6.1,0.05,8.94,0.22,5.4,82.8,13.2818,99.3,94.0,82.222,7.3,96.66072,13.2,,14.0,103.0769230769231,83.95860406364845,28.7,74.2136,,,,5.26,4.360608012468468,100.0,100.0,1.5928794043306158,-1.2859819111168977,100.0,99.5193710327148,,88.2386580521762,130.747735789432,4.698541641,3.816468,72.3,2.1167421762750056,2.20207,35.67870259284973,5.897734951,92.37193333333335,59.0,,20.0,95.0,65.43260235014797,-16.750813023609883,86.46530343384144,-534.2687151854302,15.37013776,3.2131323377760985,0.155,43996.43092766078,68.2348935076904,93.89,81.41,41.27,75.42,28.2669324,53.23,34.84,0.83,9.362802648946108,30.58763441817957,0.98,150.75,62.0,4.1654824258,5.802922248666667,100.0,77.0,0.0,0.34055978492968464,14.64764012952637,0.225974,,0.0,12.8,8.299999999999997,6.300000000000011,12.4,502.3333333333333,32.93686863290976,17.645359282470693,11.688406258962925,43.7439,14.286310555,9.18050295980786,72.97919,11.35215,57.0,13.825960884905667,9.03413864889407,27.63523190678579,25.7,1.34,9.99,1.2933108,2.6,51.15
Austria,0.294207552271413,2.5,2.58,0.7,20.1,7.2452,0.3737690330397687,4.0,2.2,3.5,8.2,0.105,11.22,15.34,5.7,81.5,7.208,98.5,87.0,82.405,7.3,,11.3,,13.5,91.52542372881356,83.2422596520458,30.6,96.78062,,98.68991,,7.62,7.4807849272657485,100.0,100.0,1.0913678457461287,-0.5358208822748823,100.0,98.1636657714844,,84.3233312921004,87.0670422193774,5.851210594,4.07841,49.366666666666674,1.4194450798925682,3.07181,31.97210431098938,17.01299421,,71.0,,22.0,91.90125,3.9181313555993538,20.145885363973967,48.71073313778855,203.51560940675589,6.87371322,1.0663703749847642,0.017,190.6577813280181,,,,,,,65.03,67.05,0.9,5.632339257976449,13.38230674659677,0.51,102.06,81.0,3.9994530678,5.872575601,100.0,75.0,0.0,0.21325229433690956,16.70502314572266,0.302443,,0.0,8.7,22.700000000000003,2.1899999999999977,24.3,492.3333333333333,25.891878830465288,20.826737676606776,15.893085636139537,31.383963,17.04325299,34.3949917477854,72.2,10.861573,33.68999999999999,52.93220626337295,10.359837961095,23.423040899153058,7.8,0.96,6.38,1.7763839999999997,29.27,55.900000000000006
