Country,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_trophic,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_earlyedu,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg4_resil,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg5_unpaid,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_scarcew,sdg6_wastewat,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_adjgini,sdg10_palma,sdg10_elder,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg12_mswrecycl,sdg13_co2pc,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy
Afghanistan,,,,30.3,40.9,9.5,5.5,1.9817,,,2.22881818957912,396.0,39.2,67.9,189.0,0.03,29.8,211.0,15.2,62.7,68.7942,50.5,62.0,46.014,2.6943031602684573,,,,,54.13986,46.99005,,,,,,,42.1,31.666666666666664,22.51602800975539,27.7,,,62.9802080804115,39.22043325002,43.67,16.397015828045205,0.0,,,84.1371383666992,32.44,,,-6.485398477130238,22.192125832312346,14.8933124542236,8.80799961090088,0.027484477661779347,,,11.4476880854724,16.04332115,1.807143,0.0,0.0023199424561934846,0.0,,,,,,,,56.911,30.45833333333326,45.258354550928296,,,0.6,0.8811841645580595,0.5140298044043196,6.449887146661044,-44.772748054597415,,0.4039700794366764,0.088798831311643,,,,,,,6.14129,0.11304,0.83709,0.0,0.263218734507885,6.345905675735035,0.3128700177231419,12.533762286632747,,42.3,16.0,29.4,0.0,37.28,,3.77463627,,10.131118168369694,0,
Angola,20.41,42.01,,23.9,37.6,4.9,8.2,0.9347000000000001,0.9309210231308035,,2.11982094488638,477.0,29.1,81.1,359.0,0.99,16.5,119.0,24.4,62.6,154.4722,46.9,42.0,43.174,3.794837949813361,,,,77.45058,20.8827,77.43113,,,,,,,24.2,,94.14080569012387,30.5,,,41.0058676167972,39.4294228407207,0.68,2.136119556843755,0.0,,,40.5206069946289,48.05,2.083246434918843,,-6.380341234432555,7.151361331976011,29.3181209564209,8.54300022125244,0.11101824881721105,,,14.3390793643794,14.61863681,1.857143,0.0,0.0013570045363863414,,,,,,42.7,,,32.389,54.93455151189482,32.2061104395983,,0.48,3.3,0.8244214485752528,0.2756142081691217,13.061050173646121,-1.0710585859224768,,1.33618093736251,-0.4370627351815606,11139.574197617281,,0.90568,52.73,10.85,28.9343791,28.36736,33.33312,0.93592,0.2059065210556173,1.0620247758294812,4.849349402199143,0.47100000000000003,46.21470937638939,2.4242505519219377,25.0,19.0,23.4,0.0,38.35,,5.17816161,,16.360591348233122,0,
Albania,0.27,3.05,,5.5,23.1,9.4,21.7,4.716399999999999,0.9740224851903222,,2.36229923142925,29.0,6.1,8.8,20.0,0.03,17.0,68.0,13.6,76.4,20.6796,99.3,96.0,80.258,5.004402820211098,,,,96.50314,91.11684,99.2314,,,,,,,12.9,96.07843137254903,72.71054488225077,27.9,,,91.3943331635801,97.6906553407196,6.47,5.968013795725469,16.94,,,100.0,77.42,0.6519158002386228,,-1.1197268935955935,6.870871920620402,40.0151710510254,15.1319999694824,0.22218821468955374,,,71.8470405043844,69.31223161,2.293674,0.0,0.06540575488629513,0.154119998216629,,,,,41.77805483341217,,,18.201,92.35678277491968,57.09178473166616,,0.77,7.1,7.841503462410094,7.8456886119213,15.603600348065276,-24.80697393460329,,1.4420704577856085,0.671204547087958,892.9736685879361,,78.62002,57.28,,86.2669634,66.97754,89.51274,0.85201,0.0019270900772748705,4.8273787034129905,2.6989264217312363,0.494113745647488,65.93354342809103,3.600127379,98.6,36.0,5.1,0.0,29.49,,6.32537447,,25.696000865485296,0,
Andorra,,,,1.17,2.58,0.7,25.6,,,,,,1.4,3.3,1.5,0.061,,,,,,,99.0,93.892,,,,,,,,,,,,,,,99.01960784313727,,32.1,,,100.0,100.0,0.0,,98.0,,,100.0,100.0,,,,,,,1.3695840092837097,,,98.8714355189192,55.63957643,,0.0,0.1022243500989894,,,,,,,,,10.308,100.0,,,,,,-10.852231885044034,,,,6.2240395440017595,3.7269568646892184,,,,,,,26.08191,,0.91922,,26.048994563320857,0.0,0.4146341463414634,,,100.0,,,0.0,22.21,,9.91155117,,,0,
United Arab Emirates,,,,2.5,2.58,0.7,31.7,21.4874,1.2033547967186313,,2.36912529989718,6.0,4.7,9.1,0.81,0.043,16.8,55.0,9.8,77.2,28.2274,99.9,97.0,69.006,7.039419575415663,,,,94.5949,81.89104,95.00645,,,,,,,60.9,122.68041237113403,44.30915629745953,22.5,,,99.6307645789521,99.9772005230483,2346.46,40.709510529822374,74.96,,,100.0,98.51,1.5581360298907323,,1.3545686271850588,,88.2103881835938,1.71000003814697,4.887382954057972,,,94.8199225383446,243.4305535,4.021292,36.8,0.2352741409241293,0.986599981784821,,,,,32.51,,,40.918,80.41,77.51273627223075,,1.66,13.6,13.941273710846811,58.44900133073859,65.21020317925394,,,24.38073999213775,2.127762817246172,43941.9170279929,,26.35696,72.27,29.36,5.5973188,30.77563,,0.86304,,15.105617805445341,0.8938111054500681,0.38214939955220845,89.97180576238063,5.857981999666666,100.0,70.0,,0.6808405615019768,40.86,,,1.026919,,0,
Argentina,0.64,2.6,,3.8,8.2,1.2,28.3,5.0965,0.3432527265286641,,2.43656721361598,52.0,5.9,10.4,26.0,0.15,15.8,27.0,14.1,76.9,63.0272,99.6,86.0,74.655,5.792796430223312,,,,98.99401,88.42663,99.50271,,,,,,,81.4,104.1237113402062,64.6067312523864,38.9,,,99.6273001896653,94.8398814623159,6.64,0.1807344383230008,7.67,,,100.0,98.4,1.422721846743674,,-3.2073969865464314,1.261023470984775,48.7084884643555,8.16199970245361,0.33948762087924306,,,75.8097442252384,80.04329512,2.773509,19.75,0.1972339085779942,0.629159986972809,,,,,48.92007112503052,,,13.312,99.59379209999375,57.73828386706889,,1.22,8.4,9.826636987166763,-1.5592887549065308,40.37470386709804,-239.4475952454772,,4.62968981306316,0.3510410007843108,152.20907969441106,,36.03723,80.09,73.96,60.50421659999999,33.21439,43.45788,0.86046,0.9989564204371189,1.9559646033278368,5.942564450750006,0.4769672571825704,39.31390538021451,3.613971948666667,99.5,40.0,4.4,0.0,26.05,,10.65712348,,,0,
Armenia,0.89,8.42,,4.3,9.4,4.2,20.2,3.0761,0.8591382265668428,,2.29115027189352,25.0,6.7,12.6,36.0,0.06,22.3,55.0,15.7,74.8,23.975,99.8,94.0,75.851,5.062448525055568,,,,92.02934,89.17086,99.8474,,,,,,,40.2,100.0,72.93733401204804,18.1,,,98.9236524346622,91.5827666523109,66.02,7.36555436352457,24.01,,,100.0,96.9,0.6356344883751762,,-1.0689953880310152,5.340739595903463,47.7590179443359,18.2759990692139,0.14105878718011367,,,69.7181248938666,64.3177669,2.484109,0.0,0.17813086361671981,,,,,,45.2290415763855,,,32.528,99.08660994542876,42.70275744768875,,0.68,4.7,0.7125745079799168,4.194594763712753,8.801321628894799,8.174323372080137,,2.1163724487283986,0.3465721002122133,25.423583276336377,,,,,,30.53967,26.90255,0.84459,0.0,2.498260076116927,2.9781257689212657,0.31307070180015656,89.06282566847811,4.267847061333334,98.7,35.0,8.7,0.0,29.99,,4.4198123,,22.50763452313405,0,
Antigua and Barbuda,,,,1.17,2.58,0.7,18.9,1.5925,,,2.47133439935463,,3.8,7.4,1.1,0.095,22.6,30.0,11.5,75.0,44.663,100.0,88.0,71.552,,,,,79.63518,82.75261,,,,,,,,79.4,,,11.1,,,96.7391862762709,87.5042823844152,8.46,,,,,97.3546676635742,98.75,,,-0.5371551840968818,,,,0.7750604789723329,,,76.0,47.05328785,,0.0,0.07725602448421699,,,,,,,,,18.622,,,,5.5,12.0,,-0.690677417870457,,,,5.606014084367541,3.607821941227816,0.0,,53.19693,62.06,38.25,,18.43725,,0.88819,,18.837548129749734,10.333033675356749,0.4554140127388535,,,,,,0.0,,,5.77169587,,,0,
Australia,0.52,0.63,12.1,2.5,2.0,0.0,29.0,2.0743,0.8022048099218276,47.68523012241603,2.45947640587836,6.0,2.1,3.5,6.8,0.04,9.1,8.0,5.4,82.9,13.2818,99.7,95.0,95.177,7.176993577041272,2.4000000000000057,8.299999999999997,12.4,96.67783,,,90.62902069091797,51.989063,502.3333333333333,11.688406258962925,17.645359282470693,32.93686863290976,83.1,100.78125,84.08593990949186,28.7,14.3,139.4,99.96870195,100.0,4.58,4.360608012468468,95.0,,74.2135999999999,100.0,100.0,1.5921576908522235,9.18050295980786,-0.692197636353798,0.6481472810738844,99.5193710327148,5.47399997711182,2.557316289862452,73.76996,10.946128,86.5447205357702,134.8844307,3.968431,73.06666666666666,2.116742176275006,1.92817997932434,9.03413864889407,14.204151539633765,57.0,27.63523190678579,35.67870259284973,1.26,23.200000000000003,8.55,92.37193333333335,53.45787173572327,9.99,2.23,23.6,65.43260235014797,-16.750813023609883,86.46530343384144,-534.2687151854302,0.8909224382790777,15.211900530916052,3.2131323377760985,45239.04642655904,2.6,65.08429,81.33,75.42,28.2669324,54.26498,35.05806,0.82413,0.06514546220919858,30.58763441817957,0.9411560778163764,0.31177757755180846,64.91901245401526,5.802922248666667,100.0,77.0,0.0,0.38363127946225856,15.46,161.05377904307113,10.315,0.231997,,0,51.15
Austria,0.44,0.52,9.8,2.5,2.58,0.7,20.1,7.2452,0.3737690330397687,69.68946005348806,2.39598933782267,4.0,2.2,3.6,7.3,0.02,11.4,15.0,5.7,81.9,7.208,98.4,90.0,92.156,7.396001798855584,1.8999999999999915,17.5,24.3,,97.17982,,99.02175903320312,40.324657,492.3333333333333,15.893085636139537,20.826737676606776,25.891878830465288,83.6,93.65079365079366,83.49043570854397,34.4,15.7,133.89999999999998,100.0,99.9733750252992,7.62,7.4807849272657485,91.90125,98.6899143372408,96.7806169455177,100.0,100.0,1.0929087711077619,34.3949917477854,-0.6779295558987292,1.7380057127666169,98.1636657714844,5.38700008392334,1.9121400141665543,72.2,10.806797,87.9355865856062,88.12364968,4.181584,53.36666666666667,1.4194450798925682,3.08695006370544,10.359837961095,53.278612117059126,16.169399999999996,23.423040899153058,31.97210431098938,1.0,8.7,12.478,,69.84823225368024,6.38,2.4,20.9,3.9181313555993538,20.145885363973967,48.71073313778855,203.51560940675589,1.1471335967346237,6.806596360915812,1.0663703749847642,338.17341214051663,29.27,,,,,66.34521,68.94028,0.89623,0.0,13.38230674659677,0.6552196498579759,0.20489615964729088,83.64135642051394,5.872575601,100.0,76.0,0.0,0.20834637883118368,14.04,99.07610810747184,12.277,0.300043,,0,55.900000000000006
