Country,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_earlyedu,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg4_resil,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg5_unpaid,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_adjgini,sdg10_palma,sdg10_elder,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg12_mswrecycl,sdg13_co2pc,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofit
Sweden,0.53,0.62,9.3,2.5,2.58,0.7,20.6,2.525,5.992,0.492,68.589,4.0,1.5,2.7,5.5,,9.1,7.0,2.8000000000000003,82.4,5.0760000000000005,,97.0,86.0,7.398000000000001,1.2,19.900000000000002,10.4,99.977,99.977,,99.872,47.51,502.333,12.66,19.007,30.392,80.0,101.626,90.531,46.99,7.1000000000000005,49.2,100.0,99.296,3.9,100.0,32.26,99.94,93.379,100.0,100.0,0.234,37.79,-0.8190000000000001,1.585,99.742,6.476,1.286,77.125,8.858,92.142,126.968,4.24,66.3,2.048,3.3120000000000003,14.777000000000001,73.952,6.3420000000000005,30.028000000000002,29.811,1.02,11.3,6.1850000000000005,99.0,62.645,9.946,1.374,21.5,63.332,18.421,36.148,13.264000000000001,0.653,4.291,2.65,0.0,43.83,59.111000000000004,63.38,41.345,79.261,0.082,58.370000000000005,61.875,0.993,0.001,1.564,1.1,26.900000000000002,76.685,5.522,100.0,85.0,0.0,1.76,8.31,57.643,16.801000000000002,1.02,,55.973,45.65,10.305
Denmark,0.23,0.27,5.8,2.5,2.58,0.7,19.7,2.494,6.917,0.375,76.666,4.0,3.1,4.2,5.4,0.02,11.3,13.0,4.0,81.2,4.123,94.4,95.0,81.0,7.6930000000000005,1.3,17.0,16.9,99.43,99.43,,93.73,44.82,501.0,11.615,18.656,24.763,83.7,102.419,88.069,39.660000000000004,5.3,56.7,100.0,99.59700000000001,17.2,100.0,39.593,96.735,94.84,100.0,100.0,1.024,33.42,0.686,1.627,99.917,4.913,1.612,75.0,10.817,97.319,136.707,3.959,59.067,2.43,3.103,15.652000000000001,54.99,9.805,27.810000000000002,28.371000000000002,0.91,3.0,10.03,99.0,66.419,15.698,2.43,24.8,124.25,19.117,57.275,16.082,1.1,5.251,2.8890000000000002,0.01,66.95,89.358,52.5,45.103,71.179,0.077,89.73400000000001,99.96300000000001,0.972,0.01,1.685,1.2,32.8,87.543,6.001,100.0,87.0,0.0,0.357,9.870000000000001,63.394,16.199,0.74,,51.704,45.325,4.4750000000000005
Finland,0.08,0.11,6.3,2.5,2.58,0.7,22.2,2.573,3.959,0.625,51.554,3.0,1.0,1.7,4.7,0.04,10.200000000000001,7.0,4.7,81.4,5.813,99.9,91.0,78.0,7.78,1.1,26.3,14.0,98.525,98.525,,99.124,41.314,516.333,10.48,12.887,41.514,89.9,102.43900000000001,88.514,46.0,17.7,78.3,100.0,99.44800000000001,15.6,100.0,23.643,99.633,99.206,100.0,100.0,0.651,33.76,0.579,1.6540000000000001,99.785,6.595,1.049,72.075,11.945,88.89,154.457,4.003,55.183,1.919,2.762,14.517,46.951,14.888,23.036,28.654,0.9400000000000001,6.3,5.861,99.0,56.216,8.398,1.585,21.1,96.11500000000001,16.331,42.959,11.89,0.871,8.129,2.637,0.001,38.79,54.34,69.99,6.22,79.32300000000001,0.07100000000000001,74.806,74.023,0.99,0.002,1.973,1.2,19.0,84.288,6.602,100.0,86.0,0.0,0.557,7.9,55.803000000000004,14.241,0.42,,55.032000000000004,52.125,3.243
France,0.24,0.3,8.1,2.5,2.58,0.7,21.6,2.477,6.875,0.387,77.306,8.0,2.5,4.0,8.9,0.09,10.6,10.0,5.5,82.9,4.727,97.4,90.0,78.0,6.69,3.7,9.6,22.400000000000002,99.746,99.746,,99.816,46.938,493.66700000000003,20.108,20.5,28.925,95.5,96.552,84.09700000000001,39.51,13.0,89.10000000000001,100.0,98.65,26.1,88.0,40.999,97.854,88.371,100.0,100.0,0.5730000000000001,10.53,-0.341,2.009,94.004,8.427,2.0260000000000002,65.55,16.097,82.043,91.623,3.997,66.56700000000001,1.0210000000000001,2.189,10.883000000000001,33.414,20.697,29.207,33.314,1.08,3.6,11.815,99.0,67.936,5.2250000000000005,1.744,21.3,26.482,11.164,42.076,16.252,0.809,4.765,1.858,0.75,11.78,79.437,49.08,16.037,27.792,0.443,80.912,78.003,0.87,0.008,7.095,1.3,28.6,74.052,5.219,100.0,69.0,0.0,3.545,22.21,106.147,13.248000000000001,0.43,,55.702,49.9,36.003
Germany,0.19,0.24,10.4,2.5,1.3,1.0,22.3,2.437,7.2700000000000005,0.508,77.286,7.0,2.2,3.7,7.3,0.03,12.1,16.0,4.1,81.0,8.095,98.7,93.0,83.0,7.035,2.2,29.8,18.8,98.745,98.745,,98.751,32.282000000000004,500.333,18.635,19.601,37.538000000000004,83.0,93.836,83.646,31.17,16.2,91.8,100.0,99.22500000000001,34.4,97.0,48.634,99.8,97.233,100.0,100.0,1.163,14.14,-0.027,2.04,99.141,3.043,1.7670000000000001,76.7,9.188,89.739,82.563,4.374,75.133,1.256,3.035,9.663,56.415,14.549,24.668,33.745,1.05,10.200000000000001,12.029,99.0,67.292,4.8340000000000005,2.198,22.8,34.497,14.998000000000001,37.132,16.968,0.549,8.711,2.4130000000000003,231.887,25.400000000000002,85.641,50.96,46.552,80.592,0.28200000000000003,78.34100000000001,81.053,0.983,0.0,5.746,1.0,23.567,71.319,5.311,100.0,80.0,0.0,2.04,14.6,76.60300000000001,14.233,0.67,,52.338,51.725,65.392
Norway,0.29,0.33,8.4,2.5,2.58,0.7,23.1,2.5260000000000002,4.492,0.845,56.918,2.0,1.5,2.5,4.1,0.02,9.200000000000001,9.0,2.7,82.5,5.141,99.10000000000001,96.0,87.0,7.442,1.3,16.6,12.0,99.382,99.382,,96.247,48.212,496.66700000000003,8.889,20.845,25.738,84.3,100.8,90.521,41.42,7.1000000000000005,58.9,100.0,98.054,2.3000000000000003,64.285,60.109,98.343,76.31700000000001,100.0,100.0,0.23700000000000002,47.11,-0.554,1.811,99.745,3.346,2.2800000000000002,75.3,8.675,96.492,99.179,3.6910000000000003,50.383,2.211,2.113,12.159,18.799,3.579,26.622,27.42,0.9,4.3,6.957,99.0,60.179,7.377,1.361,28.5,94.19,27.775000000000002,42.998,20.416,1.195,8.817,3.746,45780.266,51.03,55.245000000000005,76.99,21.151,40.316,0.42,51.257,55.870000000000005,0.9390000000000001,0.013000000000000001,3.813,0.5,25.2,92.23100000000001,5.761,100.0,84.0,0.0,2.145,7.82,63.582,16.915,0.99,,0.0,44.300000000000004,6.227
Austria,0.44,0.52,9.4,2.5,2.58,0.7,20.1,2.412,6.259,0.388,69.68900000000001,5.0,2.1,3.5,7.1000000000000005,,11.4,15.0,5.2,81.9,7.34,98.4,85.0,79.0,7.195,1.9000000000000001,20.6,24.3,98.647,98.647,,99.996,40.458,491.0,14.835,21.851,28.34,83.60000000000001,94.615,83.393,39.34,15.4,133.9,100.0,99.973,9.5,94.0,45.973,98.906,96.747,100.0,100.0,1.04,29.39,0.001,1.738,98.164,4.674,1.9120000000000001,73.525,11.101,87.479,87.95,4.182,54.067,1.3900000000000001,3.1590000000000003,11.366,42.662,13.634,23.423000000000002,31.967000000000002,0.96,9.700000000000001,12.478,,73.026,4.987,2.597,20.900000000000002,58.487,20.567,41.405,18.726,0.654,7.098,3.5620000000000003,295.22,29.27,,,,,0.07100000000000001,66.634,71.21300000000001,0.895,0.001,4.483,0.7000000000000001,20.967,87.259,6.171,100.0,77.0,0.0,0.127,15.33,99.508,13.069,0.3,,51.588,56.5,4.261
Czech Republic,0.3,0.39,5.6000000000000005,2.5,2.6,4.6000000000000005,26.0,2.375,5.498,0.492,57.799,3.0,1.8,3.4,5.4,0.05,15.0,30.0,5.9,79.2,11.972,99.8,96.0,76.0,7.034,3.4,41.800000000000004,18.400000000000002,98.144,98.144,,89.375,33.329,495.333,16.854,18.765,30.545,85.7,96.154,76.857,22.5,15.1,,99.88,99.134,24.900000000000002,60.75,17.692,97.881,94.459,100.0,97.13,1.2550000000000001,10.31,1.479,2.8810000000000002,80.992,1.933,0.769,75.125,9.991,80.688,87.98,3.465,34.683,1.46,1.792,7.627,4.21,35.507,32.244,29.993000000000002,0.85,7.4,16.071,99.0,70.544,2.523,1.166,15.9,51.837,9.121,31.668,7.538,0.628,9.078,1.709,671.374,7.6000000000000005,,,,,0.054,92.297,92.122,0.971,0.007,1.605,0.6,8.367,72.395,4.74,100.0,56.0,0.0,0.911,24.89,208.693,11.441,0.15,,58.892,55.4,2.18
Netherlands,0.21,0.25,8.3,2.5,2.58,0.7,20.400000000000002,2.517,8.794,0.762,76.184,5.0,2.1,3.9,5.3,0.03,11.200000000000001,14.0,3.8000000000000003,81.60000000000001,3.7880000000000003,100.0,93.0,86.0,7.425,1.3,24.0,16.8,99.732,99.732,,99.736,47.603,502.333,12.88,20.038,34.86,86.3,95.2,84.431,33.33,14.1,79.5,100.0,97.714,16.9,100.0,49.306000000000004,99.95100000000001,97.473,100.0,100.0,1.3960000000000001,6.390000000000001,0.263,1.768,99.638,3.196,2.19,78.15,6.955,94.712,90.851,4.208,68.06700000000001,1.7850000000000001,2.0020000000000002,10.255,69.08,3.44,26.123,28.844,1.03,3.1,12.034,99.0,73.918,7.025,1.552,23.900000000000002,50.843,16.944,62.586,20.44,0.624,10.105,2.855,37.767,54.04,81.462,45.39,31.721,97.393,0.263,90.617,93.358,0.9420000000000001,0.004,5.982,0.8,25.767,80.104,6.087,100.0,82.0,0.0,3.162,8.63,61.423,13.868,0.6,,78.014,71.842,-104.556
Estonia,0.12,0.22,15.8,2.9,2.58,0.7,21.2,2.47,3.967,0.619,40.673,9.0,1.2,2.6,13.0,0.23,17.0,25.0,6.1000000000000005,77.8,7.698,99.4,87.0,75.0,6.035,3.67,44.7,17.2,97.122,97.122,99.949,93.171,43.634,525.333,7.232,8.758000000000001,53.964,78.4,106.349,80.488,28.71,28.3,89.0,99.71300000000001,99.147,18.6,69.60000000000001,18.717,93.333,97.361,100.0,92.89,1.303,19.21,2.574,3.596,97.994,5.115,0.656,75.3,12.718,89.357,146.715,3.099,32.017,1.069,1.323,7.744,2.973,25.273,35.002,34.873,1.1,37.2,6.732,99.0,67.429,4.74,1.44,14.4,186.602,15.954,40.459,7.916,0.779,15.462,1.973,0.005,12.13,97.846,65.96000000000001,1.4000000000000001,29.575,0.07100000000000001,94.776,93.527,0.986,0.011,0.261,2.2,20.7,72.103,5.43,100.0,74.0,0.0,0.0,12.27,196.641,10.214,0.16,,66.525,43.050000000000004,0.322
