countryname,total_score,rank,sdg1_wpc,sdg1_oecdpov,sdg2_crlyld,sdg2_snmi,sdg2_obesity,sdg2_stunting,sdg2_undernsh,sdg2_wasting,sdg3_fertility,sdg3_lifee,sdg3_matmort,sdg3_neonat,sdg3_phys,sdg3_smoke,sdg3_swb,sdg3_tb,sdg3_traffic,sdg3_u5mort,sdg3_vac,sdg4_literacy,sdg4_pisa,sdg4_primary,sdg4_schlyrs,sdg4_tertiary,sdg4_upsec,sdg5_contra,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_freshwat,sdg6_water,sdg6_sanita,sdg7_co2twh,sdg7_elecac,sdg7_cleanfuel,sdg7_ren,sdg8_adjgrowth,sdg8_atms,sdg8_clabor_im,sdg8_empop,sdg8_unemp,sdg8_yneet,sdg9_infrqual,sdg9_intuse,sdg9_lpi,sdg9_mobuse,sdg9_patents,sdg9_rdres,sdg9_rdres.1,sdg10_adjgini,sdg10_justice,sdg10_palma,sdg11_pipedwat,sdg11_pm25,sdg11_rooms,sdg12_msw,sdg12_mswrecycl,sdg12_wastewat,sdg13_ccvm,sdg13_co2pc,sdg14_biodiv,sdg14_cleanwat,sdg14_cpma,sdg14_fish,sdg14_fishstocks,sdg15_cpta,sdg15_forchg,sdg15_redlist,sdg16_cpi,sdg16_goveff,sdg16_homicides,sdg16_prison,sdg16_prs,sdg16_safe,sdg16_u5reg,sdg17_govrev,sdg17_govspd,sdg17_oda,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score
Sweden,77.61968659827836,16,99.0,79.19999999999999,49.31995055398047,75.29525638371635,54.362720403022664,93.90365217391304,99.0,92.61588785046729,97.51913770347558,89.29729729729732,98.92704495210022,97.55020920502092,51.13436893203884,99.0,95.35025161245129,98.31314675446849,99.0,98.29741931205287,96.26415094339623,99.34377772090359,64.17891877507913,98.95801481879018,70.52462019593983,57.12389380530975,16.989209269414474,21.202228793339224,71.74959158854986,81.98746217836613,68.65517085509072,69.56783356303512,1.0734987490328287,99.22222561639416,100.00000000000001,96.3079123470371,99.99999999999999,100.00000000000001,42.13214285714286,75.33970710535544,14.588861465304014,1.0,86.74473302953409,76.15414368963309,87.64369795003202,79.40090575505761,94.23062616243026,90.92578535536651,73.07836570663095,94.20499567836042,80.23694960909499,84.48599381758146,98.74615289022236,100.0,93.31967213114754,100.0,96.86270588818435,47.2,88.48427672955975,69.015147346768,88.2840656583758,5.7142857142857135,86.63090685471929,88.7412920512057,90.13011152416357,30.7,75.77659574468083,51.10396883882514,37.338823529411755,88.52039638367623,100.0,97.525,81.6295965342222,98.45121951219512,92.18220946915352,89.83798202156734,80.472625275026,100.0,44.38176439881678,77.26938906697227,100.0,89.1,77.41624456084996,92.78663879202742,67.85307243090615,62.63245739567621,66.76524145514233,79.36796249062458,56.911857206643106,85.22337458350317,97.3552750071233,81.35423529606145,81.92782991156785,46.1725962845025,67.29039363177506,75.286406637696,91.44266183030916,73.88371782192968
Denmark,77.12841911149084,1,99.0,99.0,57.54240579745566,88.95977032715368,57.35516372795969,94.52347826086957,99.0,91.69065420560747,98.69511658600968,83.94594594594597,98.78113485630067,95.68619246861925,45.48271844660194,76.88297872340425,98.74894809349242,98.35971307619944,96.92514970059881,97.97806446081691,83.18867924528303,99.75214791426488,73.62623373210027,97.17473015601969,89.75280739430289,53.221238938053105,35.55280382098001,15.532143770943403,70.7119636214466,76.76571343987862,59.03448582035754,96.28550973420408,1.5064280893274655,99.55555386203737,100.00000000000001,81.97409619376573,99.99999999999999,100.00000000000001,28.932142857142857,71.23410825329,19.378411344859384,1.0,83.06800920479934,79.50195094638329,82.5343529788597,85.89358860119802,97.7802231866088,79.9530004663896,69.8292029470864,59.6441771348893,83.98228933214789,74.14135957722976,99.0,89.36572890025573,96.97131147540983,100.0,90.55580121037664,60.39999999999999,83.43396226415095,36.43973377884734,93.84044154540894,17.5,82.73840147518973,85.02768681155104,92.20446096654277,72.02173913043477,67.35106382978722,6.336667017580794,85.67105263157889,90.29872208339536,97.1699512655697,100.0,64.50444615116163,98.34146341463415,91.3299856527977,85.89709159358765,91.03896193440384,100.0,54.83741082303811,87.87693384440185,57.79831932773109,99.0,81.51191205317434,88.6067856002975,74.84666032595347,63.66596327736605,67.02066065045496,75.04156277760822,56.119472121365284,78.74626303507853,95.11234679188851,83.65193373679222,71.23804586280241,50.119200737594866,64.58832355117931,91.04657532684799,90.15884982094069,66.83755466505701
Norway,75.42066826730597,11,99.0,85.8,37.806960171742155,44.747336204784816,47.879093198992436,94.79895652173913,99.0,92.70841121495327,97.56269247690277,86.62162162162164,98.85408990420044,97.75732217573221,55.68388349514564,83.90425531914893,98.64469128233092,98.24329727187207,96.03592814371258,98.55290325395374,88.79245283018867,99.41773044459096,72.44531936247267,99.54074926560837,81.74673242143419,64.76991150442478,29.318238103661777,12.620202296433725,70.58218036839709,83.56193557650876,62.448274229142655,98.23428947562297,1.0354158529094897,97.88888720250633,100.00000000000001,95.99718794000474,99.99999999999999,100.00000000000001,55.449999999999996,75.68515984935455,17.447047123384394,1.0,90.58374248122935,86.4494136751073,91.53219090326714,67.71495288739615,98.0973341599504,94.80740425436761,58.49028801071668,39.86424133437435,59.984206193022466,41.55745461317385,96.740766048883,78.68081841432225,97.7827868852459,100.0,98.83563602792513,67.0,80.25157232704403,11.11465779262825,77.55073682343784,8.071428571428571,78.36292272140777,79.66359035427209,82.50185873605946,41.76470588235294,70.51063829787233,95.05000526371197,41.376470588235335,95.47624460138796,93.26208393230519,95.05000000000001,84.79522780765765,96.8048780487805,91.47202295552367,91.07760492369437,96.62727289810539,100.0,45.47774491038804,67.81085860884235,72.84873949579833,92.4,69.49012621870197,90.96846707043724,74.5397801836988,65.48937638922105,66.30810101847194,82.78378996233863,60.44959233872378,65.7879830647145,91.06812378281705,88.61187867597505,56.30565564770338,43.21717564641817,73.89815970685376,76.70493304064283,93.68957237625166,62.045781005009566
Finland,75.52768724464511,6,99.0,92.39999999999999,32.45070147273879,69.38457470307266,54.11335012594458,93.90365217391303,99.0,92.61588785046729,96.56093268807743,86.62162162162164,99.0,98.17154811715481,38.04970873786408,81.09574468085106,96.22599490674033,98.5343367826905,93.07185628742515,98.74451613423926,96.26415094339623,99.3353406235922,92.1272135100512,98.49388638242802,78.91583290648597,68.11504424778762,18.23261984786839,9.09464097513934,70.17339108820235,77.9744201851453,65.39655249421114,57.750273475516856,1.2843335247394632,97.3333316493293,100.00000000000001,89.0028431725628,99.99999999999999,100.00000000000001,34.47142857142857,67.51634866359042,13.095945304657606,1.0,79.4253414544191,68.87515015618175,73.69506726457399,94.09601631152634,94.0874147551147,68.17492325335496,82.8921634293369,87.52848120786595,87.69538636201794,87.96663919974452,93.97384756167253,91.13810741687979,95.34836065573771,100.0,97.29811361972506,60.39999999999999,84.88679245283019,34.26302754724931,84.70045158053186,5.7142857142857135,76.17767525404186,99.99999999999997,85.0278810408922,6.999999999999999,73.67021276595743,96.9572586588062,24.227941176470633,88.70234867413768,99.56854530084027,98.7625,89.87994404769856,97.46341463414635,93.46054519368724,99.99999999999997,91.75946046738905,100.0,41.29058639290065,76.27100532367473,36.09243697478992,95.69999999999999,73.57802772102274,89.30367371818731,75.8699895863689,56.077855643643,66.20588839135625,75.49694430875475,50.60130880723714,86.06300350270875,93.48677187809669,85.89937120657503,67.95009052687045,40.94598048416378,72.53107049313117,70.83294505048286,95.9036949061316,51.21800956378843
Switzerland,73.24964550864108,22,99.0,72.6,58.594205529889656,62.377886214162146,57.105793450881606,93.90365217391304,99.0,92.61588785046729,98.86933567971843,89.29729729729732,98.85408990420044,95.27196652719665,52.710679611650484,64.94680851063829,100.00000000000001,98.45284571966134,97.51796407185628,97.72258051891605,88.79245283018867,99.34299033714001,85.63218447709914,89.47468178503381,70.35944648144869,57.20353982300887,20.141517778170883,9.535776483712686,58.814486981330376,72.55632778247245,50.655173007584494,65.03601287942895,1.176602154849085,99.88889058478559,100.00000000000001,90.42865025608427,99.99999999999999,100.00000000000001,24.335714285714285,73.9125046405325,34.12748539253568,1.0,90.30100140769905,86.11499224947866,85.88376841768097,100.0,88.58400495970243,88.94305295119204,43.040187541862025,92.72857042196586,41.076127817548574,71.35458997650161,76.71230703929476,79.59232736572889,90.07377049180327,100.0,81.00592099185819,53.8,81.56603773584905,34.40814001461966,97.3176116407426,3.357142857142857,88.6406992138378,71.62334027984517,76.63680297397768,28.860124223602487,70.3,51.4962989614103,19.315939278937357,97.46783981004974,98.16246041990092,93.8125,88.80852401850674,98.5609756097561,90.05164992826398,98.16625947318872,93.84693949320143,100.0,42.9458500087002,75.85493816030987,33.294117647058826,85.8,77.26623753655228,89.31236551557491,70.35906011365024,51.31955542690579,67.02183091321156,74.5620547315617,61.88995868465449,75.10379052411038,82.12613496560897,78.2686403306194,71.09726313040376,45.99892103549033,59.78331328776712,71.64874650296268,94.74954978898813,50.69830193868963
Germany,73.25021899086535,14,99.0,79.19999999999999,69.98324810698534,82.28382819086657,55.360201511335006,96.76173913043478,99.0,94.37383177570094,96.34315882094148,86.62162162162164,98.78113485630067,96.51464435146444,50.66019417475728,63.191489361702125,82.54781148762801,98.46448730009408,94.55389221556887,97.85032248986647,94.39622641509433,99.3158742885166,83.86081292265766,96.37527956953353,74.81840088333755,36.92035398230088,24.151954714310985,17.36596644966624,64.29746457246341,71.70881173323824,57.63793171177606,73.87946838918195,2.022183673257929,99.11110772407478,100.00000000000001,80.45452866830475,99.99999999999999,100.00000000000001,12.785714285714286,77.49221273865987,41.17352107965435,1.0,79.01744063877548,84.97777852812715,88.73374439461884,86.47366327994044,87.75542467451953,100.0,30.6403215003349,63.8392847566097,46.424589921201196,72.54675015745275,90.34384696452571,76.45268542199489,88.85655737704917,100.0,84.479856790719,53.8,85.0251572327044,66.88680766628386,95.55969352734571,5.7142857142857135,78.98181111787203,80.22357844596601,75.39219330855016,30.7,67.35106382978722,30.255500579008313,38.71009988901218,94.95023938760606,98.44883891988701,87.625,76.44841795286777,98.34146341463415,90.4777618364419,87.45816284849658,77.66926782243225,100.0,52.348773273012014,74.02145703049685,32.91596638655462,89.1,82.9604747858871,87.2659075540945,69.24044606010953,56.97792857126518,67.04443046577758,72.56948175609354,62.065782896639284,69.6685763271512,85.2176965878566,79.42661893023967,82.49055280877799,42.34804841607887,56.78446723266234,77.36972606550175,88.28858198212468,53.09539889668783
Austria,70.04786179966229,7,99.0,85.8,63.060479997765476,93.92161175707848,59.59949622166246,95.45321739130435,99.0,90.48785046728972,96.2996040475143,86.62162162162164,98.92704495210022,96.51464435146444,46.236271844660195,55.117021276595736,91.93070575767324,98.27822201317028,91.2934131736527,97.97806446081691,57.03773584905662,99.31329979867311,75.20078021849605,97.146187396835,70.06575972299746,15.097345132743364,21.70015920750044,13.239093145563945,54.45598549967235,72.36478132138356,48.48275978043847,59.52816886620303,1.2241699917758817,99.99999999999999,100.00000000000001,83.76124418852967,99.99999999999999,100.00000000000001,34.94285714285714,73.00865924251323,41.60056916880934,1.0,77.64806678005586,81.54508280982115,79.30385169762972,90.40233945890651,82.44637321760695,72.83467646617237,43.63697253851306,47.733153361930114,53.51072854552301,70.51953848487656,88.21153898916299,77.97186700767264,93.31967213114754,100.0,85.24696365704736,40.60000000000001,83.01886792452831,27.66839662525082,79.53437029603612,3.357142857142857,81.56461391462507,68.42256623995233,74.10408921933086,27.660124223602487,68.82553191489362,51.49629896141029,11.323529411764701,94.09969622523245,83.81306744067595,81.4375,67.00575235880319,98.23170731707317,87.7790530846485,88.98222978115268,85.97669536444847,100.0,51.134122150687325,76.08603171292394,18.168067226890756,92.4,83.58710930585009,83.29403175893874,63.08725524620758,49.61415772265227,67.07472333059197,76.9878790963426,59.01770494980489,65.8691117247898,86.50102604266105,75.28232121901578,63.40721161527174,42.460878385883966,58.10172211183791,63.07876435922437,87.05899112944657,48.46274036350068
Netherlands,74.13226657069613,9,99.0,85.8,78.7918574460583,52.64379276300974,56.10831234256926,94.52347826086955,99.0,91.69065420560747,97.78046634403871,86.62162162162164,98.70817980840089,95.89330543933055,46.99238834951457,71.61702127659574,95.64216272972205,98.51105362182503,97.22155688622755,97.78645158053139,94.39622641509433,99.42221691136783,85.82902756446822,95.17530133166254,84.62834140401475,48.92035398230088,32.85582876348842,13.783076953443775,65.56719126486806,71.82753788380433,58.8793098530941,78.85362218719585,1.5584330464490388,97.44444106454372,100.00000000000001,74.9158259637756,99.99999999999999,100.00000000000001,5.242857142857143,71.86833100640213,18.11341620050449,1.0,83.8723776147473,80.26396697150955,88.54348174247278,96.35587262399434,94.89553626782393,96.29322808687624,42.31078365706631,60.33865199390801,47.75042577984272,53.86189743701742,83.76923151411245,86.83375959079282,92.10245901639344,100.0,82.17495399901232,67.0,84.95597484276729,40.39543723504325,99.17360762669341,50.50000000000001,76.40169067798126,61.8323905924382,74.12081784386618,46.00000000000004,65.24468085106382,26.920412675018426,46.203026841804615,96.17334623449227,92.29153905905173,95.05000000000001,81.35459456236586,98.23170731707317,90.05164992826398,91.46067513557458,85.12561162678699,100.0,35.60779537149818,81.82062378724208,51.21848739495798,92.4,78.7930158363524,89.19731218844568,74.47184499288377,57.78214762848122,66.33429137033092,69.27779703731481,57.27692892260603,70.25805654950413,87.56848337376624,83.05831799967076,74.84167323483466,63.45084533899063,54.823660392477336,78.22263737844953,91.61060551000922,56.215635517899415
Iceland,73.75162706876765,2,99.0,99.0,59.814534876690814,80.64639677679305,48.62720403022669,93.28382608695652,99.0,92.61588785046729,96.64804223493181,89.29729729729732,99.0,99.0,45.36737864077671,96.54255319148936,99.45787651293237,98.80209313264346,93.66467065868264,98.93612901452478,83.18867924528303,99.15909471109065,65.7534652614749,96.90753695068277,91.67655601070925,53.64601769911505,45.37749867327083,15.900554562090424,72.9851717445609,81.38282065757744,65.08620647904216,85.7726143928789,1.0043703248370055,98.66667006321713,100.00000000000001,98.51778164803332,99.99999999999999,100.00000000000001,100.0,79.61352598337821,25.259553605052645,1.0,99.99999999999999,85.72238043686546,90.0695467648943,88.92089243125304,100.0,61.216384809754544,50.53315472203617,29.427453937447535,62.74204711815177,64.84501590464649,96.9692279635098,67.28695652173913,96.97131147540983,100.0,97.06592474005656,34.0,88.83018867924528,74.1693789370375,52.60404272095186,10.428571428571429,85.7794430970967,43.70646025602855,88.72490706319704,1.0,62.08510638297872,52.465101589641016,1.0,92.29713263262303,81.504396705717,85.15,73.82502655133848,98.89024390243902,95.02295552367289,80.97656449317739,82.11970670890032,100.0,46.223455716025754,73.2664124795495,11.966386554621852,99.0,78.99797493685573,90.90042908441468,75.42002821772391,64.22547356722995,66.55701346268472,94.90338149584456,63.610834465031765,65.38356413189851,87.07583198688626,77.0219749133522,71.86787011241155,48.10400726283407,49.596315058369065,58.267176446113346,87.99778531136117,43.818751583399035
United Kingdom,70.2657225134507,21,99.0,72.6,67.03012187751938,77.84229840335904,35.41057934508815,96.24521739130435,99.0,93.35607476635514,91.33435987681479,86.62162162162164,98.56226971260132,95.89330543933055,36.81941747572815,66.35106382978722,84.98736717943233,97.78927563499529,98.70359281437126,97.53096779091078,88.79245283018867,99.37740596199043,76.1848875394013,99.8566082726904,72.98610324615737,68.38053097345133,28.460109676278083,3.3522581643982257,68.17503257772064,72.16361924867033,46.62068960878246,60.84597469977775,1.344735612552226,99.11110772407478,100.00000000000001,79.65626897905489,99.99999999999999,100.00000000000001,5.478571428571429,74.96351586707156,45.12198552747616,1.0,74.49858357369381,82.1947502399486,68.01097053171044,73.76379384332529,93.2997520148791,93.47598972026208,58.82183523107837,25.949382799025084,49.314118384759674,43.18343836086223,70.8992280764835,61.0076726342711,76.68442622950819,100.0,91.48120099678846,60.39999999999999,86.82389937106919,54.40700092513403,98.28833321625689,10.428571428571429,83.10426422177761,54.08097648109555,89.7453531598513,29.90062111801239,74.72340425531914,25.18045769281153,32.65882352941178,90.41133851184081,65.39737440779746,87.625,78.608651086235,98.1219512195122,80.81922525107603,97.18889033578526,81.75854790391772,100.0,37.26956673046807,63.82406166708596,47.58823529411765,85.8,78.14738196393768,85.76233583688928,74.20760761166149,50.231514859869876,66.81861444554234,70.11052182391074,57.631634289983424,62.54404433631312,69.53044231342092,83.96040033226281,79.83974450415337,46.76641782517452,54.72616254141799,62.82251214968335,89.16032368521803,49.560621230557224
