country,total_score,rank,sdg1_wpc,sdg2_crlyld,sdg2_snmi,sdg2_obesity,sdg2_stunting,sdg2_undernsh,sdg2_wasting,sdg3_births,sdg3_fertility,sdg3_lifee,sdg3_hiv,sdg3_matmort,sdg3_ncds,sdg3_neonat,sdg3_pollmort,sdg3_smoke,sdg3_swb,sdg3_tb,sdg3_traffic,sdg3_u5mort,sdg3_uhc,sdg3_vac,sdg4_literacy,sdg4_pisa,sdg4_primary,sdg4_schlyrs,sdg4_tertiary,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_freshwat,sdg6_scarcew,sdg6_sanita,sdg6_water,sdg7_co2twh,sdg7_elecac,sdg7_cleanfuel,sdg7_ren,sdg8_accounts,sdg8_adjgrowth,sdg16_clabor,sdg8_empop,sdg8_unemp,sdg8_yneet,sdg9_infrqual,sdg9_intuse,sdg9_lpi,sdg9_mobuse,sdg9_patents,sdg9_articles,sdg9_qs,sdg9_rdex,sdg9_rdres,sdg10_adjgini,sdg10_justice,sdg10_palma,sdg11_pipedwat,sdg11_pm25,sdg11_rentover,sdg12_ewaste,sdg12_msw,sdg12_mswrecycl,sdg12_prodnitro,sdg12_so2prod,sdg12_reacnitro,sdg12_so2import,sdg6_wastewat,sdg13_ccvm,sdg13_co2import,sdg13_co2pc,sdg13_ecr,sdg14_biodiv,sdg14_cleanwat,sdg14_cpma,sdg14_fish,sdg14_fishstocks,sdg15_cpfa,sdg15_cpta,sdg15_forchg,sdg15_biofrwter,sdg15_redlist,sdg16_cpi,sdg16_goveff,sdg16_homicides,sdg16_prison,sdg16_prs,sdg16_safe,sdg8_slavery,sdg16_u5reg,sdg16_weaponsexp,sdg17_govex,sdg17_govspd,sdg17_secrecy,sdg17_cohaven,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score
Afghanistan,43.991874259405584,7,52.82653312468931,8.488795322291853,35.04174094317237,97.2718204488778,0.0,50.4192992533027,59.399998243464964,28.06390532544379,64.46718817643946,26.642622950819657,98.90243457312845,70.32866617538689,32.09631728045328,27.338912133891228,74.72845023974313,59.72673267326733,30.700000000000003,76.56474820143885,61.3562874251497,42.02709677419355,1.0,59.61842105263158,43.59224720767206,32.999776163927024,64.26991100499102,18.499175172469172,14.206349249797494,38.16946968137819,1.0,2.5379187893582262,43.98275862068965,80.34511596869939,2.4785661617646353,88.1146504187932,24.33333333333333,13.229411764705887,92.958270795387,88.82258064516128,18.659340303102965,12.062923782783374,11.149954001839927,33.76126046267762,37.07234042553193,33.68173103067194,71.071840640695,33.415927270853196,18.75065896390024,7.229888106817402,6.910447761194035,4.997428591285009,1.1797088702359648,1.0242491714539006,1.0,1.0,8.807278046430065,89.6518198014762,65.70743982494528,44.68826815642457,29.480723208314544,58.217611336032384,52.623263620467675,98.64768683274022,95.54088050314465,58.13810155026276,95.11655812621996,98.72864330995435,45.6891102683505,52.93332572489546,1.0,26.928571428571427,17.655451611291568,97.3714283686554,4.486123545210385,37.77023255813956,43.62816474863719,56.346716370304065,44.440261509125584,77.43031898094537,1.1119059865,6.341101683451625,91.12077291492805,96.83999136376194,74.09379606204358,3.571428571428573,30.00295008513108,90.36241610738256,90.79714285714286,23.08829289181206,28.95294117647059,1.0,34.34957627118644,99.0,43.48591006452193,4.102985074626867,60.624155283968356,99.0,83.43279020236008,41.77027570185161,50.237452198799126,34.71349175977135,31.966448344686818,25.831192335719415,53.12577888160865,36.61614268134753,5.6555177234796234,66.68250926094868,46.773866054938196,77.82775804508113,36.610393738432194,51.92313883343036,53.90151360213704,43.819708838608605,51.80326260577929
Angola,45.812130123088956,37,64.52362177965956,3.264226163831692,37.514391634799104,79.24937655860349,51.37758423596712,74.30212521539346,61.24186134338377,41.302958579881654,19.460658280821576,5.868852459016381,93.22918567726393,64.4193072955048,51.91501416430596,0.0,76.66158252153349,69.5940594059406,38.61999999999999,55.07913669064748,27.565868263473078,0.0,44.1704918032787,42.68421052631579,63.504951906560606,32.999776163927024,74.68829769212309,30.366246617947777,14.206349249797494,19.88500883439454,27.643672805909706,75.63942347411167,58.103448275862064,73.50113395035076,1.0233784259201248,97.64871687960739,46.22222222222222,1.0,92.0712527388668,27.61290322580645,43.72680655592687,59.564102430350715,39.74793008279669,48.54298386807227,49.50000000000001,32.953850438107935,77.65997013709787,28.1061969400607,14.88095643802524,11.500160101900525,17.25373134328359,14.189450274515252,1.1660290689466446,1.0280575156902292,1.0,4.573257944267903,10.353482494447297,52.057520997709354,65.70743982494528,40.92737430167597,29.84472057363449,75.25202429149797,52.623263620467675,89.13523131672598,96.30188679245283,58.13810155026276,90.40080565418523,98.76058454162684,43.71250792607688,53.142378180589795,1.0,17.5,19.83826057558548,95.67880745983588,2.9144136078782457,46.16744186046509,51.56435493640218,1.8974792047433446,19.122582402615087,93.09064112011791,33.99979267750003,29.186811180180463,87.35309086229572,93.20372296116356,90.68729668505709,7.428571428571431,24.492304921555736,86.11006711409397,86.27142857142857,14.880194297031522,42.23058823529412,50.5,32.46186440677967,99.0,11.157430601261037,4.5462686567164186,60.624155283968356,99.0,83.43279020236008,51.15826085866311,42.038088377865556,43.15312432607119,58.721919626558545,29.378863505549948,55.74376623773771,45.402186293227096,8.438347242341854,52.89744504144354,52.57333616186671,75.65592799456006,33.9828704108249,42.36849990486873,66.88614287323938,49.28750189747551,43.83196363548645
Albania,62.455115637611996,48,98.32592431090802,21.74640499104745,33.17300607412656,60.980049875311714,61.78965398101545,89.51510626076968,55.71628082630247,99.17988165680472,88.95646134975227,80.19999999999996,98.99638646567142,97.10316875460575,68.6487252124646,88.02301255230125,62.27048664598295,54.10693069306931,36.64,96.74460431654677,62.541916167664674,91.2716129032258,68.19016393442624,98.69736842105263,98.69134865466225,54.841392335290166,92.96013961737728,69.0994851334405,27.648968189614976,16.667888525916368,66.53091226691772,58.844425267112456,36.53448275862069,80.98742591473287,1.204680504484359,95.08691896385609,92.44444444444444,90.48823529411764,96.29288708349192,99.99999999999999,61.699539712262855,40.14736109441855,47.80312787488501,55.0151912871063,88.25744680851064,44.23402901423522,44.890661056060814,38.10591694716777,52.03437730360167,63.9532650206327,18.361940298507463,28.80999374522204,1.7849517273295792,3.4012482331902834,1.0,4.555264681618182,30.669809502212967,86.72893866123695,36.57067833698029,80.52737430167596,85.84735287279331,87.27631578947368,60.89777521581417,78.2135231316726,94.29559748427673,62.409717477812386,88.58720081319899,94.811967242612,44.78606975960371,46.50463019395214,6.084862749999999,57.57142857142858,15.2379324422633,94.99891098923116,19.532587287376902,81.58139534883725,38.8820411871593,66.50456558532572,16.385317352220106,81.60510131732724,95.474425474,70.43842623117426,79.62074150756663,90.75205206847617,77.01096081033744,34.42857142857143,48.54417882941353,93.81744966442953,74.53285714285714,36.73279258733842,59.235294117647065,80.2,98.53177966101694,99.0,25.015493407357457,3.8074626865671646,75.72681524083393,99.0,83.43279020236008,53.820083668095556,79.43804793823789,68.64826678607703,60.72431155184593,57.061828391380516,74.53494697254332,46.00978523589102,22.730094501368317,67.94233043329774,78.00714795936038,72.80124372901837,46.83521482257499,56.991684158173925,82.65932121831091,71.32803702397847,50.88744283368963
United Arab Emirates,65.43449575640052,103,98.43382053670287,75.14890611011639,10.073557974435374,12.591022443890239,96.81517230545865,91.74037909247559,95.77674418604651,100.0,84.87253475395642,78.57704918032783,98.83016388655692,98.78113485630067,68.33711048158641,93.61506276150628,97.38905643184135,56.85148514851485,82.18,98.81007194244604,74.99101796407186,95.87032258064517,78.90163934426229,93.48684210526315,99.27162795485543,50.10907230942074,89.55779718583523,67.8810395027959,35.80359602597427,55.46783233530846,89.4564232135278,37.431085669710015,35.91379310344828,84.18235347544523,90.06178343028161,71.86062711571171,97.33333333333333,99.22352941176469,93.43514104377195,99.99999999999999,99.98989795963547,1.1275081106767244,86.13615455381785,59.91831810846968,99.0,48.13603185601643,87.36242703950047,53.23366828422337,96.78758726008809,92.82450495203125,83.00746268656717,64.18138856070608,5.180330394000652,8.055049118894505,33.467204843592334,17.147711286971383,32.27488418671625,46.519165181980156,57.15054704595186,60.61675977653631,95.55618159721378,42.08502024291497,33.735004374514446,39.1067615658363,85.78616352201257,41.646449901554014,53.20273684285525,91.3795350328265,28.782112524036584,2.1335950889289848,87.26959000000001,8.071428571428571,9.19187649959369,53.26310798081751,8.001790510295436,76.34883720930236,63.16732283464566,20.818797991163034,55.01716153636611,64.33331169278944,29.46450338706976,30.805941456115246,63.448045908099985,41.309394319038056,78.85427836013555,69.14285714285714,89.99462271736638,98.2026845637584,68.87571428571428,84.1850972458438,68.08705882352942,80.2,100.0,95.89016057505289,19.824273688518918,83.00746268656717,48.64831056793672,99.0,83.43279020236008,63.690963685403794,86.76623276248529,68.52462659577631,61.74591386553283,89.14977265821827,73.63813677852103,66.95731996840556,48.102902587729744,54.76215733482278,57.12540207154774,48.862479211150024,19.6320508905338,55.93708625285332,48.776432686091724,85.35781953541223,62.620011735755696
Argentina,62.634482585949314,139,98.82611523932273,20.187989592658905,96.7071553004605,39.501246882793005,87.2224138920358,91.74037909247559,93.47441838508426,96.53207100591717,68.14524207513588,76.30491803278684,97.92678030441289,95.42520265291083,72.79320113314448,87.81589958158996,93.41539563038337,67.37227722772278,74.26,96.03237410071942,66.98802395209582,92.22967741935484,95.78032786885245,86.9736842105263,99.06228148397477,25.82746691967983,99.04198691993466,70.78585505163865,10.846759763819374,76.3136575244869,67.311653071668,53.11304545974133,56.55172413793103,71.9333517970858,1.204680504484359,98.95598195761734,96.00000000000001,98.25294117647057,94.04425748545192,99.99999999999999,99.11339658004367,9.978234023846039,53.55105795768169,54.46717036747458,89.73191489361702,48.798161174602896,77.73388081987241,41.35025878964994,32.65710606899131,70.29471003747894,43.481343283582106,47.19403711168253,1.1227524782245197,8.19090846799499,49.051463168516655,15.141474120019545,14.418508088938403,52.18350725375414,49.35185995623631,46.458100558659204,98.04246782102878,91.38461538461539,44.49399794888624,75.04270462633451,91.18238993710692,47.50227480773591,70.91793563578618,93.69490283303918,54.49414191855864,54.75129545130961,8.5933,10.428571428571429,16.566905509399902,88.1430725777978,6.908683974932857,81.2046511627907,83.30012113870382,44.760949779774734,46.643557613729236,47.57711338035583,44.02330338524393,34.16896529784428,48.936802714004266,96.55499449124589,78.05796178829787,30.571428571428577,23.239690232240932,89.03355704697987,78.63428571428571,33.70731834693254,32.44705882352942,80.2,99.47563559322033,99.0,28.68785716499229,6.319402985074628,54.066858375269575,99.0,83.43279020236008,71.472267190918,84.53300501303686,61.11287002780946,62.22744361660654,60.60138072771446,75.7839720223354,55.18010582185631,31.28358920282544,49.33115592288322,77.9736937181768,69.6550921728387,30.511808372675496,60.697278615070864,60.348405535327245,65.60408892222344,47.018529631334125
Armenia,60.12528161759667,83,95.85334099045564,13.131266786034018,44.74469848789693,56.289276807980045,65.71551805178282,90.22400919012063,79.66046599454657,99.41420118343194,88.64632738467458,74.03278688524591,98.86629922984268,97.39498894620486,34.71388101983004,85.5376569037657,72.1509405306893,61.491089108910884,32.67999999999999,94.13309352517986,53.056886227544915,91.20774193548387,79.71311475409834,93.48684210526315,99.79159713845362,36.51482790876796,93.84465240676028,82.74581061352391,14.236934857367526,36.37313505320036,70.02801148198922,66.15403526204753,17.603448275862068,75.97064214247166,2.807772567578639,94.1525986797946,88.33333333333333,100.00000000000001,96.85351188821058,99.99999999999999,92.45834226135882,7.719635841266629,20.864765409383626,45.87454081350124,90.78510638297873,42.965386403304876,43.45948147142663,36.97271904668031,55.22662058386241,58.79221792457797,22.794776119402997,29.29849190353742,1.2683087863977094,8.089688532907218,1.0,6.554581971095081,14.961673113982224,80.37923135657928,65.70743982494528,63.38212290502793,99.65811306115144,83.16801619433198,51.15276749152876,83.4982206405694,94.91823899371069,58.13810155026276,93.43927639422213,98.82352249270193,43.294344604347614,49.706057227213414,12.375595,10.428571428571429,16.585455555364206,94.57074667683658,6.453715308863027,52.99069767441862,35.65,43.00553986657967,38.90370471261237,79.39176755447942,27.63352010157147,31.4196745069839,97.74064302477021,86.62429165529961,75.32602589223107,26.714285714285715,48.848739023719396,96.4751677852349,78.06857142857143,50.82776302631635,83.69411764705882,80.2,99.58050847457626,99.0,11.026349386725531,4.102985074626867,62.43191948238676,99.0,83.43279020236008,58.29420588639351,77.10172331601106,65.42676458497466,57.43903429059262,59.53385991614131,74.257872497709,38.02737862885933,21.99848432619589,69.82293136218416,77.99296558233739,74.54539455757542,32.00962224240881,49.98834196161802,63.74883103617126,75.41942594827415,44.14031348593479
Australia,72.91232231697283,107,98.74045728179345,9.027039503133391,50.479304720073166,33.8229426433915,98.1465517136132,99.0,99.0,99.71881656804734,92.92064012218,90.26229508196721,98.93856991641421,98.78113485630067,97.87818696883853,96.30753138075313,98.9140830096982,81.35643564356435,92.07999999999998,98.28776978417267,91.2934131736527,97.78645161290322,94.80655737704919,89.57894736842104,99.57086265092131,76.69030766527703,95.38336225184517,98.38243271294444,68.72076333095904,85.56767246505292,72.13063882479113,74.69007076897618,45.53448275862069,63.126821370750136,1.185596075161808,96.16154381741576,100.0,100.00000000000001,93.824687692314,99.99999999999999,100.00000000000001,9.640257390884818,99.14995400183993,47.322868947063164,99.0,70.30596730197432,80.48537396497896,74.1485292828946,65.9205737301262,85.9313303723961,80.79104477611942,78.54048231287788,10.157859311834821,79.60566516981454,86.21392532795157,51.65191090197987,50.434000469449096,71.66098243827946,65.66411378555799,70.79329608938546,100.0,98.59919028340082,28.690851232549264,29.241992882562286,84.19496855345912,61.03783050909445,38.041442051033,62.40459208452704,67.82873202960567,68.07183951076584,95.05,34.0,4.686595129093064,59.04365304728669,4.944046553267682,86.52093023255816,80.84161114476075,68.6166785188719,55.92059384363933,34.335964805899295,35.495037585415,54.74091009857975,69.34657222122976,86.80434952153878,72.58367528325151,85.85714285714286,62.5827961538452,97.80402684563758,79.90714285714286,86.46228810157469,63.89411764705883,100.0,100.0,94.70431365844533,52.3252242738033,17.253731343283583,69.1078360891445,99.0,83.43279020236008,64.91263976336855,94.59405552426416,87.7495457223894,63.87050343078454,78.47942797851552,75.8662362707997,74.28253869975019,65.47186581917217,69.37279743774097,75.76334717198336,58.688771088721055,25.668573682411857,65.24715570914589,63.79410894200296,87.02118281208473,59.42169792655784
Austria,73.81772319975971,157,98.50692356859649,32.61007441808415,93.63340684456307,59.00498753117206,96.81517230545865,99.0,95.77674418604651,99.92970414201186,96.42180059165905,90.58688524590161,98.86629922984268,98.92704495210022,89.80736543909349,96.51464435146444,91.69705582434749,44.435643564356425,86.13999999999999,98.09784172661871,91.2934131736527,97.97806451612904,90.91147540983607,96.09210526315789,99.6439950703561,67.90711020923573,98.15359900718813,83.10207262945377,37.306261358320704,86.76090685443606,61.417530900183664,73.43973539483048,48.48275862068966,56.16945493793848,1.2237649338069099,94.07556173680497,100.0,100.00000000000001,95.76294929794511,99.99999999999999,100.00000000000001,36.283939820577736,97.40938362465502,68.15235679063241,99.0,67.13642303947795,79.23897108728112,80.2426926456626,88.16896091367548,85.27715425695217,83.37686567164182,48.06782959204948,40.35303667447822,54.9509653961801,53.34712411705348,69.88359875336103,55.66400051586082,82.8989564774752,43.45951859956235,90.15083798882682,100.0,87.67712550607287,51.06717997478971,22.195729537366546,83.01886792452831,31.887344743697568,64.97183349312891,97.01970757411752,34.45917030758176,35.71931926151055,94.36311159999997,3.357142857142857,13.597630951382385,81.04815956585823,44.3401969561325,83.13023255813958,35.07135069654754,80.44134961049498,54.456224461999454,51.49313208865691,67.3789817376136,66.87331775479905,79.86318192456591,80.56707317060913,83.97247231211408,80.71428571428572,65.74094514716526,98.46845637583893,87.82714285714286,87.64649646869263,80.20000000000002,100.0,100.0,96.30652744247895,63.08651623542677,21.686567164179106,44.814521926671446,99.0,83.43279020236008,79.47339754755407,91.17995622867812,77.22260765491089,59.87736996341057,77.93248765412237,83.01172227963072,78.43596543754182,64.34328176569474,72.16977102195479,79.58143516028753,52.75313897741874,35.585782582628994,60.9184578831677,75.73100537994034,89.59038540056044,57.14690133156933
Azerbaijan,61.62356468119203,94,98.71332633025943,9.980276410026857,51.64437656292272,48.88279301745635,70.49482715329003,91.74037909247559,84.72558183448258,96.71952662721893,69.53181670595026,66.89180327868851,98.86629922984268,97.39498894620486,54.59490084985836,63.169456066945614,84.39411164869497,63.51683168316831,52.47999999999999,90.80935251798562,77.65868263473054,79.96645161290323,70.62459016393444,96.09210526315789,99.94068741327268,36.51482790876796,90.77695228830558,81.65816467730723,14.236934857367526,24.737527101950022,56.37188220570738,83.89812633755817,27.06896551724138,79.4255801996762,2.645554918336956,95.40039016835618,88.11111111111111,74.76470588235294,94.69655814776297,99.99999999999999,92.66982862205259,3.906293911690957,29.88132474701012,40.80737711455056,85.30851063829788,42.965386403304876,82.71949233066377,37.18649509869129,65.89654612716652,78.13290669184488,35.72388059701494,42.80443394259504,1.2307145881204278,2.937136111688633,19.58123107971746,5.842237457223158,15.356229166125326,79.59811656910156,73.00787746170678,57.851396648044684,89.18523183127226,78.75910931174089,52.62326362046766,81.73665480427047,91.9433962264151,58.13810155026276,91.21298950536215,93.8188892360888,46.754350782485304,52.9427864302571,10.632501999999999,36.35714285714286,18.554747788232206,89.80121041779616,8.217457475380485,73.98790697674423,46.500423985463364,49.449829063131475,48.67695450830837,82.55752101740525,25.27688625305264,40.552000464211396,97.8360117172067,89.68695649784692,86.52927151793234,22.85714285714286,59.17940509342508,95.81073825503356,42.85285714285714,52.032157609085615,76.70588235294119,80.2,93.28813559322033,99.0,20.238945921732633,4.102985074626867,62.43191948238676,99.0,83.43279020236008,59.578039011775694,77.51406114861896,64.6255134290042,61.69113856504578,54.310852816031435,72.81817017037663,46.71201513884412,29.722812862388487,70.15246355961767,73.52253492116027,73.79245264787737,38.23263963463793,60.234527110210536,67.97622529005,70.72348295420036,46.443462619686564
Burundi,50.83881344528609,29,2.1072615056057913,5.2985675917636526,42.146899838171,98.01246882793018,3.072412528733622,68.65364732912118,70.91162834611049,53.48757396449704,85.97050423300783,26.318032786885254,95.03595284155199,47.27487103905674,51.57223796033996,41.62970711297071,76.23199757002452,65.8039603960396,34.263999999999996,84.5179856115108,24.305389221556904,48.030967741935484,51.96065573770492,92.18421052631578,83.30887192933795,40.696976316691305,90.78589365901738,13.676262286050033,19.554353807525167,36.061770384316205,44.23882230666548,97.70012514721958,57.48275862068965,80.3451159686994,1.1092583578716042,98.93604518657297,42.22222222222222,53.217647058823545,65.3873247610957,1.0,1.0,100.0,8.812327506899724,34.51881697497403,43.60212765957447,33.68173103067194,94.39066105606081,28.106196940060705,14.247511480926068,3.7293217708975948,13.190298507462686,6.091389255681423,1.19715251917646,1.0506319152348136,1.0,3.797245057748719,10.353482494447297,75.64214812929498,65.70743982494528,57.851396648044684,48.19407182421339,67.23582995951418,57.37436703316413,99.0,95.81761006289308,62.83603541750546,95.62836919884741,98.61562777591739,44.13435007768491,52.89518281404483,1.0,52.85714285714286,17.757477326011326,99.0,2.9144136078782457,37.02511627906978,21.441611144760753,51.10077522336393,38.45064015254699,90.5497210232656,52.790004569285685,52.641425204152505,87.21268440149919,98.83558021561953,88.17784604232612,10.0,29.987458637330413,93.81744966442953,88.11,21.174295441453246,46.423529411764704,50.5,73.99152542372882,99.0,43.29782262624522,4.102985074626867,65.01308411214953,99.0,83.43279020236008,48.01593741030502,58.57253644955983,49.60447159972436,69.94170551081854,39.297034565098066,41.846831190273925,39.90194670173344,6.073003666841674,66.40032820076165,57.6014229389639,78.41816790669903,43.13225844775811,47.71357276460141,75.9315080865766,55.66063862382812,52.853472953255405
