country,rank,sdg1_wpc,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg4_primary,sdg4_schlyrs,sdg4_literacy,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg6_safesan,Population using at least basic sanitation services (%),sdg6_safewat,sdg6_water,sdg6_freshwat,sdg6_scarcew,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg9_intuse,sdg9_mobuse,sdg9_infrqual,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg10_adjgini,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg12_msw,sdg12_ewaste,sdg6_wastewat,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg13_co2pc,sdg13_co2import,sdg13_ccvm,sdg13_co2export,sdg14_cpma,sdg14_biodiv,sdg14_cleanwat,sdg14_fish,sdg14_fishstocks,sdg14_trawl,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_prison,sdg16_safe,sdg16_goveff,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg17_govex,sdg17_govspd,sdg17_govrev,sdg17_cohaven,sdg1_oecdpov,sdg3_incomeg,sdg3_region,sdg3_smoke,sdg4_pisa,sdg4_resil,sdg4_science,sdg4_socioec,sdg4_tertiary,sdg5_paygap,sdg7_ren,sdg8_empop,sdg8_yneet,sdg9_netacc,sdg9_patents,sdg9_rdres,sdg9_womensci,sdg10_elder,sdg10_palma,sdg11_rentover,sdg12_mswrecycl,sdg13_ecr,sdg17_secrecy,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score
Afghanistan,165,59.19649118823694,61.36862267107784,0.0,61.49339166739073,93.28522920203736,8.269164539648035,36.45488932162711,70.32866617538689,12.319999999999993,47.14647239263804,75.04225352112675,98.76557826520438,17.89971243709563,0.2497324568108894,68.88940092165899,31.64285714285714,63.989773005317915,45.91059602649007,54.212500000000006,9.505754334819223,1.0,60.54251461806423,18.325000000000003,31.37755697130428,42.33802816901408,1.0,14.431795264600174,45.73572593800979,46.88556326203551,35.244215521386536,55.641623059199084,54.65339714236273,2.6605902077595847,88.1146504187932,89.1117143783151,16.46189627186331,90.82499182230094,44.40030351145923,1.0,9.94456109246393,67.82362205775797,11.677694843259305,6.2428471154079235,26.97953873336935,19.485193500207075,1.0,1.0832934041679574,1.0,54.91977234107283,56.516421705035334,25.625830396691395,52.42857142857144,87.78117229129663,98.64768683274022,1.0,98.72864330995435,52.93332572489546,95.11655812621996,45.6891102683505,98.44377050193661,70.49060561834565,26.64891041162228,97.62674050827835,39.50608112029953,55.02514970059881,43.03456577815994,36.66889128094726,78.99506425150568,85.93804919244357,7.0786,1.1089,74.83050847457628,98.17621584592837,98.89777931915971,93.24577913091613,88.779378545913,4.857142857142858,36.52396691185704,28.617501770997364,41.29188078108941,8.424999999999999,46.83870967741935,99.0,41.02145963738335,9.937009867790294,17.833773970428865,99.0,32.45901639344261,60.088235294117624,71.40953271028039,31.751351351351367,25.939823008849544,13.103594723061997,27.97331865204105,39.34964411357628,11.167498895908617,68.8352576323526,17.757623656790297,30.77603085383503,36.31101285476435,76.9859375,1.819095206703933,17.11668538095558,47.575522134233225,73.25070422535211,45.38947368421052,65.71952983725136,62.84769086547651,10.628200537153088,50.72231046931404,45.82775379083978,43.478549566963515,44.71484800206795,28.47236887285075,34.468161400795324,40.60000565879095,53.53905653231742,31.709255061713417,19.17870980166403,57.85331675021181,50.07258834188738,77.39202677413337,60.76764551546719,56.527966887325796,56.01840072793287,49.73103996392612,43.70291078898331,44.97021751630697
Albania,36,98.55569844191649,92.57008532126066,61.789653981015455,58.00440832787046,66.0560271646859,19.29038994663117,33.17300607412656,97.10316875460575,86.67999999999999,90.34509202453988,96.97183098591549,99.0,76.0826743350108,47.66862865005351,72.53917050691244,82.61607142857142,88.5782588092458,99.23509933774834,96.28750000000001,67.96037220969848,37.882352941176464,92.85084791331914,68.65,99.00503189095903,81.76056338028168,66.70918367346937,63.27542938598509,46.05872756933116,47.32684002693577,86.24632169578744,56.32766337834128,91.80166962825409,1.246027447772029,95.08691896385609,99.99999999999999,66.74273054467935,96.70124899637761,53.142983760755726,80.2,36.55302897905953,49.75504563353748,67.8768315891121,23.423824197955355,54.01494150745886,23.98355749535716,1.0,3.567119684145679,4.578444654878209,62.01523253792263,85.18836670371783,91.82564983755945,56.285714285714285,87.04262877442274,78.2135231316726,17.7706,94.811967242612,46.50463019395214,88.58720081319899,44.78606975960371,94.78010640839582,69.64332071996881,57.092009685230025,98.41451522254472,66.44390287014139,87.18862275449104,42.22871883061049,19.578040904198062,76.15863128458207,11.310202518208257,68.815,95.4757,76.5084745762712,93.9611876388982,96.99050306767938,97.14586216440631,72.8354171044337,56.28571428571429,53.308188624642305,38.486179102655626,98.57553956834533,36.887499999999996,89.95161290322581,99.0,26.272960840564956,9.612508542743218,45.655312497322726,99.0,42.196721311475414,55.64117647058822,74.37028037383179,40.93783783783785,47.49203539823013,31.471926224831883,51.22538997632805,43.95709933978874,21.324352517993816,66.29914638430299,20.888647036736035,43.381536092619406,50.72940191885181,88.7009375,2.1781025541024777,21.883074407491637,64.39510058991951,70.41549295774648,68.08421052631579,81.77793851717902,70.79411806920129,18.445389435989256,59.2141516245487,70.37620987669595,55.14726180259837,77.05291262739624,56.99708540768135,64.82061007867405,56.54372016299238,71.08315664444825,52.29366606413732,32.32744856185645,66.8383120073283,78.76941733604265,72.96287685495193,67.67506829442573,50.48468652703855,86.35017305656974,71.38622375038037,47.950986701035916,62.76988716105829
Algeria,34,98.64015521622744,93.08723663590457,81.24827588732833,81.11894374817356,56.47538200339559,6.572475361186083,47.90293781579205,89.00515843773029,66.0,81.46242331288343,90.12676056338029,98.86428215353938,75.05068296189792,83.11928604188962,49.5,76.13392857142856,93.82050726141401,96.28476821192052,90.1,63.13781589518466,49.529411764705884,96.48008068107228,53.8,91.93168373123044,86.95774647887325,48.43094278807412,14.589660010372393,42.66721044045678,40.94539690740396,77.88909922269522,55.14316443125913,92.0920275306687,4.345897237938306,94.09515483552865,99.99999999999999,99.98989795963544,90.9906700566396,56.69258209433855,50.5,39.47789620828239,63.577685405250065,44.27775300996987,26.566691055201,38.40790593360457,42.42382270429915,20.728904847396773,5.303921363680345,2.532922987492734,87.19380104345764,68.3857049257316,80.61867832865175,66.57142857142857,79.30550621669627,82.44128113879003,46.6489,94.4277831649205,52.770977736472354,92.04430154912097,44.26402810611199,90.98700953103706,70.79646383125312,9.629539951573848,96.82983912043818,33.60630960432443,73.91616766467067,26.977214101461733,63.222820236813774,34.48649408385144,68.89747569516845,39.4219,49.4605,84.89830508474577,91.17814924531083,98.69582223912606,97.97702740105176,79.3102542550956,53.71428571428571,42.68277235042054,41.98712247523471,99.59301130524153,30.699999999999996,90.12903225806451,99.0,22.871301086114492,4.294386127076686,100.0,99.0,43.4950819672131,66.75882352941174,73.27850467289724,20.513513513513526,44.10442477876107,26.97273491564723,45.05937267863159,41.66697424630077,21.030236672930602,81.92283635427614,16.42125742257629,28.37901591895804,37.29853904858623,76.98593749999999,2.440115988812821,29.4820003586739,67.37552213423321,85.19577464788732,75.9578947368421,63.77712477396021,57.015805281460565,20.749776186213072,51.15119133574002,71.06761859172028,61.067541908630034,74.27563922892925,52.630688463071735,54.913679214410536,58.73709145221343,76.85045635971284,45.98761977923588,32.41140889848767,82.78249014272903,69.83823414994303,71.7528118847961,57.79852572410306,50.18441356438174,72.73093531383654,70.56594508437715,55.463375709786234,61.2050840790786
Andorra,118,98.10006417097615,99.0,96.81517230545865,95.94713666648238,59.500848896434626,20.64806370064604,41.8449569622803,97.05939572586588,97.9,98.54447852760737,98.2394366197183,98.33374875373879,63.257512580877076,94.58805992967436,76.1889400921659,76.89999999999999,84.44110372253934,99.16953642384105,97.525,91.63519720673233,65.05882352941177,85.54078281099305,74.42500000000001,100.0,83.89014084507042,68.68971937757678,62.01120450530455,52.84176182707994,100.0,69.98247493464346,94.59845824870534,82.25207553629541,1.0,90.84646558807121,99.99999999999999,99.99999999999999,94.09251455158982,49.17276444119223,82.17999999999999,77.07695516636329,75.652380510668,99.68822746812033,20.637667992903516,56.02947293269419,49.01354454599459,1.0,5.016748227528213,14.58662641339609,69.02299278775786,92.69631003248804,100.0,66.82857142857144,46.21172291296625,57.9202846975089,98.02,85.88905274115237,62.899724550161544,74.58044029527358,38.3468458755926,86.3733693624323,65.19780667065625,7.136561743341405,98.84725133109028,16.50159461133751,76.48502994011976,44.60085984522786,39.28094725511302,60.462685408209055,63.865665004490026,20.206,41.4118,88.25423728813561,98.68672317393272,88.12239059498046,98.12316634375865,92.11691006513973,60.65714285714286,45.9417857657784,60.440272181295164,100.00000000000001,57.182500000000005,99.0,99.0,36.55846084479763,12.628050681206947,41.53980283993129,91.08,23.53278688524589,68.2941176470588,66.61682242990655,33.000000000000014,34.058407079645995,28.64131111291107,36.91156158098913,49.07964804655599,21.90141841614545,65.66841757952209,23.53350631558458,30.174294240231568,35.04749892941478,65.83812499999999,9.156742361117875,23.177737361809456,37.536834659682235,72.46056338028168,40.06315789473683,42.482278481012656,41.11019541108027,15.866248880931067,54.15335740072199,60.816425528111026,68.95936308855033,82.75012783465513,53.81976613090509,66.62024882691075,76.67135347253078,79.40650521679359,58.21731554797831,34.6983388148406,60.51557135425879,75.50178998551803,58.13689521196221,54.68424759769026,50.1994636774162,67.33623021140976,79.1624196903461,47.19193435333157,63.905767311071045
Angola,159,63.897955449883504,76.88316211039526,51.37758423596712,63.23788749634711,88.74702886247877,4.049607366608454,37.51439163479909,64.4193072955048,35.859999999999985,37.96012269938651,52.098591549295776,88.90752741774676,39.9273903666427,34.277671609845584,47.903225806451616,7.776785714285722,20.204886781408064,42.413907284768214,38.125,32.542941405786536,22.35294117647058,67.14955021510875,30.700000000000003,70.78414531994392,14.450704225352126,28.305681895137518,83.89428863638788,62.69331158238174,35.123704845301226,35.46687769879558,48.57383627790964,27.66778878268523,1.0258575988384822,97.64871687960739,29.485388354802588,47.113948204294516,90.37060186466393,46.47478672102107,50.5,25.22297102069557,70.2303712079413,14.10056785893538,6.4361377661300265,15.151809713781116,28.709438604842056,1.0,1.045380434213673,7.3996170001312604,49.41375123154633,67.5937084584724,51.80291946166328,31.85714285714286,92.14209591474246,89.13523131672598,1.0,98.76058454162684,53.142378180589795,90.40080565418525,43.71250792607688,96.27984048719304,71.25562998513536,17.06053268765133,92.38203741902994,1.8966480638160714,63.64071856287424,54.20292347377472,15.137782561894511,88.35570099110087,69.59005667702587,29.0863,33.9967,91.61016949152543,95.25553168536202,98.56397336088231,90.41433711597011,87.12426455137634,38.28571428571429,23.824013768927273,13.997697576333124,23.689619732785204,13.374999999999998,57.483870967741936,99.0,13.87300697585583,3.586178210227692,25.527290499158617,99.0,32.45901639344261,65.01176470588231,71.40953271028039,31.751351351351367,25.939823008849544,13.103594723061997,27.97331865204105,39.34964411357628,11.167498895908617,68.8352576323526,17.757623656790297,30.77603085383503,36.31101285476435,76.9859375,1.819095206703933,17.11668538095558,47.575522134233225,73.25070422535211,45.38947368421052,50.00126582278481,51.248963956339026,10.628200537153088,50.72231046931404,48.178485921663054,53.63494361776597,43.11429105147687,35.77094686606127,51.63584879432237,35.21525458330536,46.18189052013783,43.25252877637622,19.758199236356937,56.017976380369646,50.313759150015834,74.07750964146946,57.521248223232554,48.80397172174772,69.70253490755394,49.68827977764981,38.54175723091124,46.312229279659064
Antigua and Barbuda,96,96.93137993974352,54.99042312380289,96.81517230545865,95.94713666648238,70.76230899830222,6.700633831198173,50.68187667728999,96.27148120854827,91.96000000000001,94.14110429447852,98.56901408450705,97.61814556331007,72.87994248741913,90.97072313101972,77.32949308755761,78.49107142857144,76.321781764234,100.0,98.7625,60.84064136680283,60.4,68.79422803693794,65.35,99.3241647403598,82.64788732394365,69.10649098566272,72.84122998775202,18.926590538336054,59.3106353854083,77.0123435930792,69.54133305306091,81.09299932829336,1.3216989502552343,91.86060963751513,96.31144862295243,99.98989795963544,93.94903789438199,63.77353548042028,84.16,47.60075746534355,61.68533432543495,74.5647272078679,16.801871064275236,57.45389641194745,50.732520140850085,1.0,4.033690691450244,9.49776763112003,52.47671177384111,89.04783604986602,97.90541789629835,68.11428571428571,3.8685612788632255,58.836298932384345,53.100084519999996,88.06935941974596,53.9896618337161,85.234286999316,43.93602652250219,87.36497037721347,65.37112437476493,12.841646489104118,99.0,37.14327648169149,80.7994011976048,59.835339638864994,18.914962325080737,61.19982654178889,76.52374476756022,19.770400000000002,18.291339999999998,83.22033898305085,96.5351518503304,91.13591786292855,88.97121505673955,52.33696679974785,46.0,47.324870091057385,54.628063553159734,96.68304213771842,60.6475,99.0,99.0,16.799055524741412,4.363245308251676,46.147180205946114,91.08,32.45901639344261,65.01176470588231,71.40953271028039,31.751351351351367,25.939823008849544,13.103594723061997,27.97331865204105,39.34964411357629,11.167498895908617,68.8352576323526,17.757623656790297,30.77603085383503,36.31101285476435,79.299375,1.819095206703933,17.11668538095558,47.57552213423322,73.25070422535211,45.38947368421052,50.001265822784816,51.248963956339026,10.628200537153088,50.722310469314024,64.69519816659306,62.649591933755715,80.16050277552723,43.8752840213419,62.471491293609404,61.891386352516015,77.00200203344004,54.05111182996635,32.71774098812761,57.03896322780125,76.26720137080872,55.02616556326668,55.041188355647115,55.736091825431856,61.79062973926195,71.6212952931581,41.822358301650645,59.87662918082095
Argentina,76,98.83544423925717,94.81107435138429,87.2224138920358,93.76651979172425,54.962648556876054,20.82224637592663,96.7071553004605,95.42520265291083,86.67999999999999,92.16717791411043,95.95774647887325,96.77916251246262,67.43529834651329,91.1447790857667,71.39861751152074,78.19642857142856,66.93694075962227,99.56291390728475,88.8625,58.9612874794488,65.05882352941177,99.17018965859566,70.30000000000001,99.09383596626506,90.12676056338029,66.7671917808219,55.34532410423161,63.82381729200653,33.73333269797719,77.55524126495301,59.72529803778586,82.31040304258917,1.2524918474816495,98.95598195761734,99.99999999999999,99.85614137728435,93.44039922126026,47.96454354904733,80.2,45.7607815157299,68.17924606320585,72.51799608613733,31.37110878565342,34.511893873925615,51.05370331155115,20.728904847396773,8.757482143901305,14.656612724783889,44.52179326419909,89.47070289710905,99.5655644062418,65.28571428571428,79.12966252220248,75.04270462633451,8.5933,93.69490283303918,54.75129545130961,70.91793563578618,54.49414191855864,88.74125887568673,70.10909523152606,8.430992736077481,98.88728423421533,44.7204234743338,84.19161676646709,84.32287188306104,28.766415500538216,25.807991629930086,37.49861081283568,33.877900000000004,44.0254,78.18644067796609,85.89245378259271,98.190412790075,93.2640464987545,77.91257354486237,30.571428571428573,31.10797394058367,38.77450223371393,99.49126413155192,38.125,91.19354838709677,99.0,31.15805577420349,6.965664809797974,31.175405730977296,99.0,32.45901639344261,65.01176470588231,71.40953271028039,31.751351351351367,25.939823008849544,13.103594723061997,27.97331865204105,39.34964411357629,11.167498895908617,68.83525763235261,17.757623656790297,30.77603085383503,36.31101285476434,75.229375,1.819095206703933,17.11668538095558,47.575522134233225,73.25070422535211,45.38947368421052,50.001265822784816,51.248963956339026,10.628200537153088,50.722310469314024,65.64723031634989,74.71534304473458,77.80820750099224,48.262238127287276,68.97967027455859,51.73229269262917,77.76354106383371,51.53193580609707,34.12167086320383,54.38732372458724,76.08081185296248,68.4685152776528,55.359366322931734,50.884655011194326,68.03452145012676,66.6044819231102,43.80428735685855,60.73009898746196
Armenia,107,97.58475218368811,93.43200417900051,65.71551805178282,80.6828208307335,68.57724957555178,12.679750375535823,44.74469848789693,97.39498894620486,84.03999999999999,90.42101226993866,93.4225352112676,98.70388833499501,45.83465132997843,63.133121846812415,67.74884792626727,73.7767857142857,86.89417755078654,99.78145695364238,93.8125,65.23530907303513,32.05882352941177,88.48350493931304,82.67500000000001,99.80245624064577,82.14084507042254,69.60958904109587,63.35167399909072,30.231647634584018,31.469315683808325,91.03211273480679,54.34758078103914,91.51259135489367,3.25645575746402,94.1525986797946,99.99999999999999,99.97093756320992,96.76973150201871,60.33231299045057,80.2,44.75512519679708,34.23690129678431,68.51831127297464,21.57366193057456,54.28092612973437,31.2753913387317,1.0,8.005353522985438,6.817264058954791,53.562489704855054,77.97174347546226,99.02313778071675,58.85714285714287,88.62522202486679,83.4982206405694,24.7699,98.82352249270193,49.706057227213414,93.43927639422213,43.294344604347614,94.94592047418452,70.11559659623542,8.430992736077481,98.98338134038809,16.263355549139963,74.97005988023952,40.20275150472915,30.88353067814855,62.50411943932143,56.84848395500306,31.2346,27.630999999999997,74.83050847457628,98.42365225254568,97.9637977538838,96.99058953778024,82.99493065770119,78.14285714285715,50.66548765376819,52.391922229011385,98.67728674203497,33.175,83.56451612903226,99.0,13.123711001815892,3.5418837793587663,55.743862951224614,99.0,28.07704918032786,60.088235294117624,69.00392523364488,31.92972972972974,33.06548672566372,22.484786802993064,35.31503264070456,42.48441661138247,14.546436703336365,70.51760317689471,17.358629150889847,30.747376729377727,37.04223743094445,76.9859375,1.944668725641137,16.048678166480283,53.22249156731566,70.88028169014085,43.07368421052631,65.71952983725136,62.84769086547651,8.772873769024173,49.32129963898914,62.830900682007986,60.97200691675024,73.72235229083047,52.35714008300488,63.17027178441758,55.79150785597237,78.52482455402962,47.88565894072568,30.879334928490234,55.83881853517406,75.39288848764332,74.31919060705683,56.24975298318193,46.94538350109695,66.01671169620116,75.06695445468728,44.14615147427768,59.92030683392557
Australia,47,98.89401241588375,96.70729583841198,98.1465517136132,99.0,53.78607809847198,8.642355556098336,50.479304720073166,98.78113485630067,95.48,97.78527607361963,98.22676056338028,98.39543868394816,96.54457225017973,98.98108087448402,91.2442396313364,97.34821428571428,92.35883061656203,99.23509933774834,93.8125,93.35514161256972,90.29411764705883,95.1822114862336,98.35,99.3837696214588,86.70422535211267,72.52486828240252,74.10542132063688,47.35073409461664,35.97481983264217,92.10549380183701,84.57698121650886,95.36690038088183,1.2000161321917888,96.16154381741576,99.99999999999999,99.99999999999999,92.76004802042696,60.01682306664966,100.0,99.57844520092746,77.13666260208302,89.92127135337915,51.876951457077205,62.40231667213983,80.73964660046437,78.10269299820469,84.33271683272984,52.09905726715296,76.95480193578958,96.6636582686236,91.84185321971945,66.57142857142857,74.87424511545292,29.241992882562286,95.05,62.404592084527046,68.07183951076584,38.041442051033,67.82873202960567,65.56497958295752,65.94531953029363,34.559322033898304,70.07503047283977,68.55405981017505,86.13473053892218,81.75494411006018,32.94617868675996,24.360999779711264,70.26853117472585,53.6977,35.491600000000005,73.15254237288136,90.06050885319915,86.22577871718278,98.33324107389981,80.08125393990335,58.85714285714286,62.13356756385742,84.36096822164309,100.00000000000001,85.15,99.0,94.71765183500075,55.328307482913964,12.058031653629252,36.34928586514444,99.0,39.762295081967196,86.8235294117647,43.485981308411084,77.5945945945946,76.92920353982299,56.35267098564309,76.49448559290366,58.34161110553919,68.57524001581584,66.60870355871222,9.622041019490752,62.403467727930575,72.84285341681246,88.70781249999999,10.521326874255736,50.1267642724733,46.76662161702258,46.47887323943662,69.4736842105263,69.8639240506329,57.70515782014405,4.944046553267682,72.3379061371841,69.32815374892547,67.79359765444478,91.16155951456895,78.70114904342714,69.45879052169619,71.49082216878249,75.59552225997942,78.66304200240053,63.23610713135451,64.30245312858416,81.23521602760113,56.88114307058441,48.21773963465138,60.669907350059084,67.72562598865265,84.73709172127192,55.014706227774354,71.8435693373306
Austria,10,98.66120586171934,96.70729583841198,96.81517230545865,95.94713666648238,68.7453310696095,29.48180941098885,93.63340684456307,98.92704495210022,95.48,97.93711656441718,97.96056338028168,97.71684945164506,88.43098490294751,93.25993731845284,90.55990783410138,93.51785714285714,95.46278544681932,98.36092715231787,85.15,93.66221461380701,90.29411764705883,98.27814463603382,82.67500000000001,99.55735699280115,87.33802816901408,61.58021824936151,73.4103656958465,50.41924959216966,92.0065854664789,91.6928586710357,92.97338314670475,96.4287419734778,1.2897572105135797,94.07556173680497,99.99999999999999,99.99999999999999,94.86038176696758,63.28529661417217,100.0,98.14251482307995,73.96765631964925,85.97565566797311,34.87978884499044,84.64273326997854,88.83916929183289,53.645960502693015,56.87860653073676,72.28138301862026,86.03363196196963,86.0687574786797,100.0,82.0,57.07886323268205,22.195729537366546,91.98223750000001,97.01970757411753,35.71931926151055,64.97183349312891,34.45917030758176,84.1010993414442,69.06843275224816,1.4794188861985478,98.87465413901195,74.21152233436274,83.9544910179641,41.55907136715391,65.9248654467169,65.16215217587182,24.988538967943494,65.3797,67.3795,84.89830508474577,93.62231034655773,93.41556020830329,98.7625242181013,86.41177243118302,83.28571428571429,58.21334863844549,85.81154943268689,100.00000000000001,82.675,99.0,96.31847208112345,66.29058713456615,18.261604609885488,43.65214255397656,99.0,73.0327868852459,48.705882352941146,81.51308411214953,24.52702702702703,68.16814159292028,36.953366870701274,68.41560090832363,33.074852603074476,37.555126425403465,58.40345604333037,43.208796579691025,60.17076700434157,74.96352857970311,48.643749999999976,37.73942943471928,58.00441034446928,29.948725246846593,88.0774647887324,91.47368421052632,86.02079566003617,32.05441144005373,44.3401969561325,58.75667870036095,85.84699637348263,80.22169202258574,86.55684117052493,65.58469875365726,66.23026354994442,80.06416081500224,84.51729458666465,78.421627223491,59.225419286623655,88.52826032040946,88.52238828467897,49.071290692348725,59.57276041500707,59.30010688500216,80.93907512792137,87.83093123191716,57.192202599757834,73.67280018505485
