Country,rank,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_trophic,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_earlyedu,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg4_resil,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg5_unpaid,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_scarcew,sdg6_wastewat,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_adjgini,sdg10_palma,sdg10_elder,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg12_mswrecycl,sdg13_co2pc,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score
Afghanistan,143,81.80629647992068,61.63130929791271,32.574193548387115,51.43493320138545,27.197802197802204,57.568281938325995,93.28522920203736,8.269164539648035,36.45488932162711,46.38354493204167,62.51075974929165,70.32866617538689,11.431870669745962,46.92805755395683,70.86315789473684,98.6834270592127,3.473684210526315,35.290220820189276,68.88940092165899,31.99680511182109,63.989773005317915,45.91059602649007,53.63291139240506,29.655509783728114,1.0,76.42105263157887,58.02570694087403,29.348223350253825,63.035684276049665,36.29040312236955,24.17125943834266,63.11754630737785,16.299055861251297,25.939823008849544,39.349644113576275,27.97331865204105,13.103594723061997,59.291208791208796,1.0,14.755201554955214,45.73572593800979,69.49038461538461,34.43833075734157,54.59082633510067,35.24422032875799,2.6605902077595847,88.1146504187932,1.0,68.05563101004384,40.52618440857024,83.00619605646017,32.732173388313385,90.64273212025282,17.757623656790297,37.48582763173266,21.798101369796726,9.94456109246393,68.67621202066155,98.80377011130052,30.739301997105656,35.031669716209855,12.46257374047032,7.524607412725618,9.835784356330201,1.0,1.0832934041679574,1.0,17.084731894463147,1.8035358950215872,67.6708761541312,47.57552213423322,70.22693732166819,44.9177142857143,72.32307692307693,45.16183567159886,25.625830396691395,48.730421103598985,68.67341772151899,87.8866785079929,98.29537366548043,98.72864330995435,52.93332572489546,95.11655812621996,45.6891102683505,57.477421986420175,98.24272976022323,70.49060561834565,98.84710623067731,10.628200537153088,41.112704764586724,42.00299150716187,78.03172447136565,81.48712083465522,7.080077134537727,1.111910719107191,74.1100988368184,99.0,98.89777931915971,91.41637443428479,68.02586824540896,1.0,22.20322685144462,41.29188078108941,8.615384615384615,46.83870967741935,99.0,62.868168389955684,73.15403723551553,17.261696619503574,12.888623455993207,6.342753142712454,99.0,50.722310469314095,58.67059977540683,47.888075635269935,46.81582726752252,34.364481055879985,37.45180860948333,41.456014672717934,56.034681305454164,43.21134913418156,16.704092499154324,62.489242843486466,47.047876223352056,76.58958736990196,69.55216053659981,60.65863539444237,56.0399732019246,51.44136502305029,37.243076737504666,47.15342401483132
Angola,152,73.95550322260783,55.15654648956357,32.574193548387115,61.88520534388916,33.181318681318686,77.62995594713657,88.74702886247877,4.049607366608454,37.51439163479909,46.38354493204167,82.54748313964535,64.4193072955048,34.52424942263279,36.48201438848921,45.55488721804511,88.20377108832285,61.223684210526315,64.02208201892745,47.903225806451616,31.68051118210863,20.204886781408064,41.97682119205298,28.569620253164558,25.63388259526262,22.099357069625036,76.42105263157887,58.02570694087403,29.348223350253825,67.14955021510875,9.685692013549703,67.71607994348663,63.11754630737785,16.299055861251297,25.939823008849544,39.349644113576275,27.97331865204105,13.103594723061997,78.76483516483518,29.402696519428524,84.32075823875823,50.257748776508976,69.49038461538461,34.43833075734157,27.63668665621461,35.46688206546743,1.0258575988384822,97.64871687960739,1.0,68.05563101004384,40.52618440857024,36.28002520729896,48.274665593885146,90.27159422019372,17.757623656790297,37.96693460792626,7.518246225485565,25.22297102069557,69.6012477827978,98.19584828435973,30.739301997105656,35.031669716209855,15.357724752584625,6.945207055489853,11.591794077883826,1.0,1.045380434213673,10.655038536875345,17.084731894463147,1.8035358950215872,67.6708761541312,47.57552213423322,59.757047856331454,44.9177142857143,72.32307692307693,71.02313764341184,51.80291946166328,32.038024026062445,68.67341772151899,92.14209591474246,88.7829181494662,98.76058454162684,53.142378180589795,90.40080565418525,43.71250792607688,57.477421986420175,96.2970737268756,71.25562998513536,92.14051633483307,10.628200537153088,1.8966432848095796,48.247433134744576,88.35570099118942,69.59005667702587,29.08461038368162,34.000118801188016,90.55629328313051,91.90774579738876,98.56397336088231,93.2048224504466,52.371,41.811355336237874,13.997697576333124,23.689619732785204,12.423076923076922,57.483870967741936,99.0,61.5642540620384,73.15403723551553,25.48623900000746,5.538975708800078,12.800116112718701,99.0,50.722310469314095,53.89541442018617,53.99231698848972,45.664310790895804,36.70381164870034,57.779125678709526,38.765708374106,48.14597716954203,43.468031376368636,18.07298109348965,58.99927968837422,55.884374713164135,74.9169589075868,67.58035514599928,52.02245852194236,68.82254832525425,52.869973428417566,38.70952825816806,48.7068892004922
Albania,28,98.66869112543381,95.8168880455408,46.146774193548396,91.92973775358733,59.47252747252747,58.00440528634361,66.0560271646859,19.290389946631162,33.17300607412656,45.96052462947529,37.973233860938365,97.10316875460575,87.1108545034642,93.6978417266187,96.02255639097744,98.6834270592127,59.05263157894737,79.94952681388013,72.53917050691244,75.32907348242813,88.5782588092458,99.23509933774834,96.24050632911393,78.14727085478887,45.2890293470004,76.4210526315789,60.926992287917756,13.76954314720814,94.95226070174667,65.87085649170743,98.90054659557893,76.26801614018571,34.588703197728414,55.02654867256642,42.03102605732206,58.87767088838033,34.356019391924995,91.05824175824176,67.69833131350798,63.50662001369268,46.05872756933116,72.09230769230768,44.629057187017,89.44412705705992,97.53957749392198,1.246027447772029,95.08691896385609,17.7706,82.63396887272398,60.44262168377524,100.0,77.51765060846829,96.58040873773591,23.007881500598444,62.057784447987515,7.251946718995609,36.55302897905953,46.60096686930078,97.38680245990739,39.0096960926194,49.692402924174715,72.940464630687,29.188371717233924,26.92284767307428,1.0,3.567119684145679,4.589067362003912,29.34149337150068,2.4904560444652173,70.65118444459742,64.80975267819599,62.01523253792263,81.57600000000001,76.52307692307693,85.98603432296827,91.82564983755945,63.86408805629695,65.77323688969258,87.04262877442274,75.3950177935943,94.811967242612,46.50463019395214,88.58720081319899,44.78606975960371,60.84470816262448,96.07606730699983,69.64332071996881,98.45012814812856,18.44538943598926,78.83556331661829,53.95728229179871,94.11082986947629,11.310202518208257,67.30994619722989,89.61849878498786,76.59292005647819,98.93362321586856,96.99050306767938,95.77466882464266,50.082739180898685,65.70475539876318,38.486179102655626,98.57553956834533,34.0,89.95161290322581,99.0,72.36115214180208,77.99540230077199,32.20881145212226,12.376180604383235,22.477038379822783,99.0,57.212707581227434,80.210784454841,51.48248152353946,77.5350590330382,62.31907201523788,64.17388092234971,63.45197735987275,74.27648521170066,48.36466121314927,30.55007576059041,73.37143648699985,76.8622522766293,71.13888896285835,70.65372640277162,59.55346949902538,85.88909826444879,72.19320494211053,44.65494760351114,64.07326474506063
Andorra,49,97.52997025285077,96.17172675521822,36.885483870967754,99.0,96.67912087912087,95.94713656387665,59.500848896434626,19.50293956010405,45.29096121896056,48.358102835536805,36.26810428147301,97.23448784082535,97.85681293302541,98.05035971223022,98.7766917293233,98.34502150181939,54.363157894736844,90.75520504731863,79.74746543778801,74.06389776357828,81.12069278442473,99.58476821192053,100.0,97.45391349124617,59.6212747696615,78.50526315789469,74.66992287917739,11.658883248730984,84.73033106272871,69.00457831389556,99.28882272799584,84.2538699843961,31.502557161892213,50.41238938053099,32.30288489290348,53.933464664706754,30.141948985418885,19.64769230769231,70.74391721823437,70.71480356396242,52.84176182707994,70.31538461538462,43.45595054095825,99.99999999999999,100.0,1.0,92.08178284084485,98.02,91.53281799453664,75.60143236333339,100.0,100.00000000000001,93.88438249954602,26.23487825931985,56.52721862299218,5.396082698360915,74.55688058543338,64.22625485146418,89.0365635322769,35.293221765557185,44.9754567077626,100.00000000000001,23.627882931589355,52.22796624630041,1.0,5.016748227528213,16.802562110268518,33.290641546907764,9.777008099885379,48.84016699554698,43.41532513534047,62.67618159507536,63.36,82.01538461538462,94.31012112108913,100.0,65.37232571874313,40.280289330922244,46.56341030195381,61.51387900355871,80.9482381265161,62.899724550161544,73.17867402169125,38.71076748249489,45.757866407874346,86.0954208419073,65.19780667065625,98.86025085887634,21.825156669650852,34.44991293804982,58.40218025098238,57.8382716411612,66.21205763178679,26.82194044184054,49.67544649446494,87.77726416997243,97.01549341560391,88.12239059498046,99.0,57.951219512195124,58.042325001568294,55.94475180375919,100.00000000000001,61.669230769230765,95.48709677419353,99.0,81.23264401772525,80.85281447354444,53.223510234208774,12.10725215069997,22.466384518137954,99.0,59.743104693140786,76.8623936263456,62.56840177943832,81.8710481413942,59.507871908274296,54.61991834555199,79.74800474267354,80.02981518971646,52.85881125197819,33.39983012933671,69.35052207015333,74.99068404268863,58.51036569917867,67.99465876027267,54.22560561549505,69.88250702337245,78.91800823522165,49.3080503192375,65.11419331157656
United Arab Emirates,64,98.24903321764997,96.7853889943074,33.37258064516131,96.82830282038594,96.67912087912087,95.94713656387665,49.24787775891341,86.8798773860264,10.073557974435403,50.718127107360225,36.718412731091576,98.78113485630067,90.31177829099308,93.46043165467626,98.87941353383458,98.54151505127356,59.921052631578945,84.00946372239747,81.2073732718894,77.8594249201278,84.7210309999969,99.8907284768212,97.49367088607595,62.2136972193615,84.30419321881809,80.67631578947365,76.70591259640105,42.61522842639595,92.16763521000055,58.49049858538741,92.85691445791471,67.72012525627296,43.62633533904646,58.41415929203539,59.06365385998722,57.795220210869545,43.92430810134042,38.83846153846155,95.24466155831851,35.92177477604328,37.337683523654164,67.39615384615385,51.09644513137556,99.5470888816983,99.97570897614034,90.22620789786018,71.86062711571172,75.21039999999999,96.04958633426425,58.960542288353665,100.0,98.51644372925678,92.58610078232982,32.85626278594328,73.388757978653,5.249413776613063,87.60024279956512,93.45326321740475,63.43557926283263,49.587704254703354,54.205900368114314,95.94321875704806,100.0,87.59712773569464,39.62049469964664,10.255209210545289,23.975433655276905,36.985614876101806,25.860994821307038,25.840816699190732,31.065042489519477,84.71612648633136,52.72457142857142,74.12307692307692,62.0283148509156,79.04867610503801,89.98025849478422,38.767540687160945,71.39253996447601,52.494661921708186,91.3795350328265,2.1335950889289848,53.20273684285525,35.340534468213,38.25965764893972,48.199816567136914,67.5243170898861,71.94161727168077,21.284512085944495,27.093974905037868,72.7684117125111,70.01061938325992,93.31270039499852,31.468876126024547,48.85419170191702,78.42841054259395,82.99666863119043,92.69542106356518,97.93185794170725,61.167209444331355,94.83202617223728,85.50762717788582,100.00000000000001,77.15384615384615,93.0741935483871,92.39806289140274,58.50553914327917,78.71013675478784,34.50696783620327,100.0,22.441177925073152,99.0,43.00245487364621,76.13566761903955,65.38655165265132,83.03484503214212,63.7843167014283,54.30586339566782,84.54716592771834,80.98970182438246,60.98869452255518,47.71439529443306,70.52125827932657,67.4561975344747,49.17189442399252,52.23756575366207,65.79642659895185,66.88871361305823,83.92804992278649,59.790120126984526,67.5839960554692
Argentina,69,98.21467526028755,96.2865275142315,32.574193548387115,94.70559129143989,86.48901098901099,93.76651982378854,54.962648556876054,20.82224637592663,96.7071553004605,46.383544932041666,24.320714294686184,95.42520265291083,87.56812933025404,92.43165467625899,95.12932330827067,97.37347006285147,64.26315789473684,92.75394321766561,71.39861751152074,76.91054313099045,66.93694075962227,99.56291390728475,83.70886075949367,70.21305355303812,60.404042926841164,76.42105263157887,66.06786632390747,29.348223350253825,98.58709704236713,63.71877074920693,99.28864535065762,63.11754630737785,16.299055861251293,25.939823008849544,39.349644113576275,27.97331865204105,13.103594723061997,16.536263736263734,76.02921234499323,55.63579200304153,63.82381729200653,69.49038461538461,34.43833075734157,99.5428393965821,94.5023053474814,1.2524918474816495,98.95598195761734,8.5933,68.81057188883261,40.52618440857024,100.0,98.40691944081266,93.18296005706345,17.757623656790297,52.49735225008881,1.9258994133188279,45.7607815157299,70.93120973383827,96.53314928079709,30.739301997105656,35.031669716209855,76.90832113348327,33.55255391299925,43.774746167907885,21.727031802120145,8.757482143901303,15.651554638282331,17.084731894463147,1.8035358950215872,63.2132636340918,47.575522134233225,44.52179326419909,44.9177142857143,72.32307692307693,91.14205362564316,99.5655644062418,64.69088995996798,65.71952983725137,79.12966252220248,70.81494661921708,93.69490283303918,54.75129545130961,70.91793563578618,54.49414191855864,62.617142096719135,89.4230544420661,70.10909523152606,98.90627328501684,10.628200537153088,36.6776568795141,82.58182279122829,25.807991629955964,37.49861081283568,33.88332796148994,44.02373143731437,77.99907550595037,64.59189658127943,98.190412790075,91.89838425003093,51.78024153892553,33.449620042895255,38.77450223371393,99.49126413155192,39.07692307692307,91.19354838709677,99.0,76.55317577548006,73.15403723551552,57.59250229054399,12.888623455993207,22.083998415775653,99.0,50.722310469314095,75.69179877430206,64.7696789455288,77.99511741161646,49.70861064537663,52.65896679150521,58.8833821209379,77.3368757886666,47.63133770101263,33.0048743356504,53.92086149099677,80.27950945727608,69.48857529669033,67.26665587394052,45.64152052838351,63.737688855221826,69.4371696672133,48.45748692632539,61.01285728373537
Armenia,87,97.90790778383739,90.21252371916509,32.574193548387115,93.88916378030677,84.31318681318682,80.68281938325991,68.57724957555178,12.679750375535823,44.74469848789693,46.383544932041666,51.052390363908614,97.39498894620486,85.73903002309468,90.69064748201438,93.6406015037594,98.3559378101224,36.03947368421052,84.00946372239747,67.74884792626727,70.26837060702874,86.89417755078654,99.78145695364238,93.73417721518987,71.9066683831102,46.401876541388496,76.42105263157887,66.06786632390747,29.348223350253825,88.4238064585835,64.31413199317716,99.78171143700928,63.11754630737785,16.299055861251293,25.939823008849544,39.34964411357629,27.97331865204105,13.103594723061997,61.35824175824176,71.75911251980982,63.726888928656535,30.231647634584018,69.49038461538461,34.43833075734157,98.6797318141501,91.03210935434045,3.510468640171462,94.1525986797946,24.7699,68.81057188883261,40.52618440857024,100.0,96.91340641657449,96.65217117623894,17.757623656790297,62.29010808996771,5.799223491522871,44.75512519679708,35.62618082457038,97.97722653759482,30.739301997105656,35.031669716209855,70.8087807491383,27.157188699404568,33.61096189955554,1.0,8.005353522985436,10.844179460304456,17.084731894463147,1.8035358950215872,63.2132636340918,47.57552213423322,53.562489704855054,44.9177142857143,72.32307692307693,70.87654597168515,99.02313778071675,45.462091056013804,65.71952983725137,88.62522202486679,83.85053380782918,98.82352249270193,49.706057227213414,93.43927639422213,43.294344604347614,62.617142096719135,94.66870359113916,70.11559659623542,98.9843447647908,10.628200537153088,21.01291416927739,47.29620991253644,63.20849832189752,56.848483955003076,31.23526804031853,27.633790837908382,75.35816580380555,99.0,97.9637977538838,95.44101380115603,68.0060005217845,93.7306108970978,52.391922229011385,98.67728674203497,32.730769230769226,83.56451612903226,99.0,71.75184638109306,73.15403723551553,21.04237478069748,12.888623455993207,19.172033580947552,99.0,50.722310469314095,73.56487501712986,60.29035046396104,76.14369768558574,48.700292506103104,55.167434369003054,60.21165211226564,77.83080031240094,44.60269083625263,28.110351788919804,56.93442697121543,70.27032616141676,74.33658552112858,68.59921137232962,47.09152658967861,66.23820448718325,76.84480031674948,40.56506845739047,60.42973036061334
Antigua and Barbuda,63,96.76182449181954,94.64800759013283,37.045161290322596,99.0,96.67912087912087,95.94713656387665,70.76230899830222,6.700633831198173,55.362788171044144,46.42976004213084,17.92953912626666,96.44657332350774,92.36951501154735,94.80575539568345,98.83624060150376,97.97386701951703,34.73684210526315,91.81703470031546,77.32949308755761,70.90095846645369,76.321781764234,100.0,86.21518987341773,65.81900102986612,54.782598158476866,77.28947368421046,60.87609254498716,28.54416243654824,70.33745784164867,59.17972824149833,99.7777862481702,76.3232618887507,20.868220055251307,31.955752212389392,35.140474979176076,33.94349498235649,11.031286118012812,18.71208791208791,75.01776505496413,75.47496065722278,18.926590538336054,71.01346153846154,34.815765069551766,96.0002245017657,86.6868097287131,1.3216989502552343,92.22535211205708,30.447886599999997,70.54028172449324,51.56832560388275,97.16606876300592,98.75540581313489,93.11610501320872,18.768861250261907,64.72565680381742,5.29614159758978,45.522427335713374,63.301216342903274,93.36324273886603,31.856812850940678,38.99837283332384,77.09882430158781,20.135952452040904,29.012197208050974,1.0,4.033690691450244,7.516118125180439,21.231749666617247,2.0806376421178485,64.32262751087968,46.768521571589176,81.52119880237879,51.93257142857143,76.56923076923076,85.54204084241475,95.71331013309776,75.39166056652398,50.001265822784816,3.8685612788632255,58.13167259786477,76.6359476016952,53.9896618337161,81.73034458110341,43.88458487378408,56.07950310945141,87.3853274698726,65.37112437476493,99.0,14.923813786929276,53.66614042154544,59.955761186462176,61.19982654185022,38.224070295704564,19.253478039427495,18.26057312573126,82.61359510522422,97.34309922474995,91.13591786292855,86.65158791258663,53.9140127388535,58.30994635719837,42.12339490015123,97.9650565262076,52.27692307692307,89.52580645161291,99.0,59.887444608567215,77.56106717331355,28.96430066126041,13.349393173454766,21.769944802200467,99.0,56.49790613718413,76.15166445742499,61.10141095149245,76.76850465900529,48.7286069519171,48.9934384617707,61.2557970315953,76.95161020990287,49.009124357593485,27.320031916951432,70.00766700006032,76.66206934120532,53.47432512521117,66.6700664078917,53.2614496113906,61.7213326716123,71.72152397454141,43.916308954819954,59.59650893491688
Australia,25,98.36192364898363,98.34250474383302,45.508064516129046,96.82830282038594,97.73076923076923,99.0,53.78607809847198,8.642355556098336,50.479304720073166,39.64433061299043,20.10936794596222,98.78113485630067,96.25635103926098,97.89208633093526,97.98766917293233,98.5742639761826,93.35526315789474,98.68769716088327,91.2442396313364,95.88817891373805,92.35883061656203,99.67218543046357,94.98734177215191,99.27355818743564,86.94174998791965,79.02631578947359,92.63753213367613,74.87817258883248,95.20717948929598,71.32452004056734,99.61100863638065,73.12038512185401,62.739965976604076,76.92920353982299,58.34161110553919,76.49448559290366,56.35267098564309,14.686813186813197,72.56809627575277,74.55497106197924,47.35073409461664,64.41346153846155,54.67697063369397,99.96160922268525,100.0,1.1741585333533064,96.16154381741576,95.05,95.05075221168326,54.3672851044616,100.0,100.00000000000001,92.43614496961663,9.622041019490752,64.01564382925635,1.3440285108704084,99.57844520092746,80.31423464514934,80.39277350653433,64.66934992764112,72.19326247039527,87.65725634581047,55.85572146677963,85.74063913787373,77.68127208480566,84.33271683272986,45.902465039839875,49.97549108588084,10.601670633435996,95.33084849018212,46.76662161702258,76.95480193578958,72.41142857142857,51.92307692307691,96.16413665271165,91.84185321971945,59.21670955524331,69.8639240506329,61.369449378330366,17.263345195729528,62.404592084527046,68.07183951076584,38.041442051033,67.82873202960567,56.86287342671906,67.3364825530004,65.94531953029363,71.14287597661624,4.944046553267682,65.43489044154589,84.13791355051339,24.360999779735693,70.26853117472585,54.72409772281509,35.707826478264785,71.95343911786458,96.75612653855949,86.22577871718278,97.87527869814582,68.13401982237096,64.47544364656433,84.36096822164309,100.00000000000001,86.03846153846153,99.0,95.28002542281968,89.4582717872969,79.66319609480264,55.587687001191625,16.0341145880568,23.7336161243405,99.0,72.33790613718413,80.73749763631524,58.27756362309391,93.43779827917524,74.45789227651231,54.70850779855289,77.39504984137132,75.51454649727685,66.07253401296775,63.98447027343607,67.09643581009836,79.27165586957682,53.12032481095865,52.34218115329448,61.0505837366302,69.07345371493734,86.42856652321049,53.33866477015461,70.98359133887377
Austria,14,98.46008924144769,98.4573055028463,63.87096774193548,96.82830282038594,96.67912087912087,95.94713656387665,68.7453310696095,29.48180941098885,93.63340684456307,84.06611286839926,31.78005581593868,98.92704495210022,96.02771362586606,97.81294964028777,97.91323308270677,98.7925901422428,83.36842105263158,96.50157728706624,90.55990783410138,92.72523961661341,95.46278544681932,98.25165562913908,88.72151898734178,94.99562306900106,91.14055652919643,83.3684210526316,69.22365038560415,15.076142131979708,97.73896710362527,70.72105510633816,99.39559244189903,97.23484089765228,38.272475007440725,68.16814159292028,33.074852603074476,68.41560090832363,36.953366870701274,14.142857142857153,65.18451437627347,73.97658767862896,56.556280587275694,59.971153846153854,57.4822256568779,99.99999999999999,99.97163321346845,1.2897572105135797,94.07556173680497,91.98223750000001,97.7399412276865,94.61768911120224,100.0,100.00000000000001,94.63666297463705,43.208796579691025,64.08098414152381,2.3787512160913,98.14251482307995,80.61792595782799,85.0880809827179,60.17076700434157,72.8111975419373,89.04993096625144,36.83872769003091,93.22661394144009,57.00671378091874,56.87860653073676,72.88730761732957,57.87703126875161,37.29654839997838,27.759179325914918,29.948725246846593,86.03363196196963,87.12,85.38461538461539,92.02160365600332,100.0,80.17819354803974,86.02079566003617,58.380106571936054,26.775800711743784,97.01970757411753,35.71931926151055,64.97183349312891,34.45917030758176,33.8797596050735,84.87954229258578,69.06843275224816,98.79176089180609,44.3401969561325,81.39133526590994,43.486297376093304,64.64377993490953,21.30205829483662,66.68391890093184,69.25155971559715,83.95152289383446,99.0,93.41556020830329,98.21698481797141,78.71528019491821,87.16139218322014,85.81154943268689,100.00000000000001,84.76923076923076,99.0,96.97971835459828,91.18870014771049,89.34386576626184,67.08484468738533,23.221665868234084,23.370338399501748,99.0,58.75667870036098,86.92945416207648,74.64515953411035,87.5805312038429,67.77498805910835,54.55226988134451,82.81097428566797,84.46136488858201,66.18431738107427,55.87693847681991,86.17941578219501,89.55514821601982,50.172242503584584,74.26998322319312,52.70586771793735,82.46051234373336,91.1186721666598,54.28670553109642,73.354187422556
