Country,rank,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_earlyedu,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg4_resil,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg5_unpaid,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_qs,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_adjgini,sdg10_palma,sdg10_elder,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_prodnitro,sdg12_reacnitro,sdg12_mswrecycl,sdg13_co2pc,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofit,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score
Sweden,13,98.34420697412824,98.34709073502819,67.86290322580646,96.74653431456443,96.67912087912087,95.94713656387665,67.90492359932088,73.9367088607595,23.225580140313006,63.88274336283185,81.84491934990515,98.82752613240419,97.55474452554745,98.17362270450751,98.1088379705401,98.79303135888502,93.35526315789474,99.0,91.27855153203342,94.30670926517575,96.45237980188452,98.27350993377483,97.32432432432434,95.359375,92.56429414077863,89.44736842105263,58.582568807339456,84.92893401015229,99.96485731483341,86.9964739884393,99.71133105999309,99.62060759650151,52.735345666991236,79.17371699303959,57.10376398779247,72.33374507227333,38.603278170959506,17.921483097055614,73.44253498734389,86.47592623673059,76.95118367346939,87.06840390879479,99.0,100.0,99.24802554917787,1.1846436334019288,100.0,87.90918027092741,99.89602660598632,86.94973635831028,100.0,99.99999999999999,98.47455510458944,41.93719027313587,71.90047393364928,2.233286981539199,99.81464442756422,76.49679601281595,92.67100815271425,77.36736161035225,85.4096739449721,92.53821761512451,51.27108354229906,95.29240596167497,70.72793813009253,81.84210526315789,72.65384615384616,94.08056580565807,49.11693574958814,8.521304167530582,56.31941923774953,92.96997072145342,85.57627118644069,78.86029411764706,98.65830430475216,100.0,63.542200256354,56.11502100840337,91.71586370444334,24.661921708185062,93.78709783172148,86.48076566459935,83.91138070479491,91.13336569055708,70.48222424794895,89.4375,91.85869831505022,99.0,65.8478066248881,59.51989,59.29320075248589,58.115523574095015,18.431180885689912,97.74625482625483,58.788033641009235,62.256862568625685,100.00000000000001,98.97674418604652,96.38081060964883,97.55357142857143,86.94977375565611,76.63444842739584,78.67570801755085,100.00000000000001,97.46153846153845,99.0,81.86220123930363,98.37503220819376,96.09580992768645,69.4235412474849,98.94680851063829,25.910643591453283,43.58673,77.03013698630136,44.35804512059883,88.18473364498762,75.02095838383654,93.07829653448793,76.24923553898037,73.47658865056572,82.1696589168291,85.10293634443133,72.27046358051533,67.23638216267214,85.8021786751804,79.57888139237738,77.45323136460716,86.53600123498458,58.62121000770513,83.28049020106606,91.26080834658966,59.87598424274612,79.1562212167277
Denmark,3,98.71541057367828,98.71566854589938,95.80645161290323,96.74653431456443,96.67912087912087,95.94713656387665,69.4176570458404,75.4906329113924,26.75557011795544,72.42477876106194,98.15077795224207,98.82752613240419,93.7007299270073,96.93405676126878,98.12504091653028,98.88501742160278,83.80263157894737,97.12618296529969,87.96935933147633,90.5111821086262,96.95892727712008,93.88079470198676,94.64864864864866,87.625,98.3065277231616,88.57894736842105,65.16743119266056,52.26395939086296,99.12907258500147,86.47476878612717,99.53137787539015,80.82844515869826,46.97293086660176,77.96669806920141,64.12004069175993,73.24699080157689,23.941724328448522,13.92693565976009,74.26368637951592,83.91919817060379,65.10351020408163,92.8729641693811,95.05682421667552,100.0,99.56953735272539,1.819207024679875,100.0,85.38758596734976,94.34211447575703,89.87179538980587,100.0,99.99999999999999,94.98630747959503,36.95125043217701,79.03317535545023,2.2731623111963555,100.0,82.00541117835527,91.06661364088288,71.31775700934577,75.9148634093802,97.68129409049403,55.127095156394354,85.42051100070972,63.120967142234925,96.92105263157895,68.13221153846153,100.00000000000001,36.74633937397035,14.444951275139951,47.46352087114336,96.53744901278746,91.72881355932203,99.0,94.60330446454252,100.0,67.85663806741415,22.883928571428584,85.19165002496256,13.035587188612098,88.76901123204715,86.00752065604846,74.96098594261505,89.46168365420914,30.14220601640838,87.2775,91.21463374799248,98.99999082497642,100.0,89.46441999999999,44.81967213114754,54.39208759094866,26.646535171932257,97.8227027027027,89.8393251797554,99.96435964359644,96.55794701986754,98.76744186046511,96.1781751133365,97.39285714285714,84.30678733031674,89.43610141838059,88.13342640606302,100.00000000000001,100.0,99.0,95.5237533195633,96.3853388301984,95.19489849201703,66.8166827049252,69.45744680851064,28.552272523710474,47.81304000000001,77.91164383561642,46.85826171333518,97.74584357749363,78.95152606825677,89.60658608506026,72.46800546253397,70.85718646666967,81.57003431575971,82.98438947794301,71.65871184351582,66.50579430801272,95.75542085736983,71.33596777584631,66.79552067355755,94.37303114324223,62.62908351934624,96.2614497634042,94.53731629393963,56.23489126434966,79.09310934540245
Finland,4,98.90101237345331,98.88416125944049,91.81451612903226,96.74653431456443,96.67912087912087,95.94713656387665,65.21561969439728,71.53063291139242,15.46723460026212,54.17256637168141,47.45463814514975,98.9137630662021,98.75912408759125,99.0,98.23846153846154,98.65505226480836,88.57894736842105,99.0,86.03899721448468,91.14376996805112,96.06064266731094,99.8907284768212,89.2972972972973,82.984375,100.0,90.3157894736842,44.050458715596335,66.83756345177665,97.74628432083713,85.61161849710983,99.53137787539015,97.33201471088168,39.46251217137292,91.85058491031987,71.7405900305188,88.25700394218134,67.57215396353493,7.233369683751363,74.28439637679642,84.38132001846179,75.35102040816327,52.88599348534203,83.70047796070101,100.0,99.41038366924172,1.7428685715938061,100.0,90.87230288294546,99.36402940661648,98.60397179741005,100.0,99.99999999999999,96.63329021899112,37.33917252506625,78.52606635071089,2.298796451690242,99.86018893964844,76.07739409042364,93.83739311990455,62.990654205607484,70.44771369822774,89.3075271191033,62.154942589415334,86.96628814762244,59.03615097787174,76.75,60.754807692307686,92.32164821648219,31.501785831960458,23.139695210449922,28.402177858439188,95.83634043192112,90.05084745762713,90.99264705882354,99.0,100.0,56.192565734015396,65.05829831932775,90.41225661507738,26.071174377224196,91.08661631563226,87.90186058970185,81.02591950702869,91.94844415682468,50.80856882406564,80.80199999999999,91.89373111576884,98.99999908249764,58.40286481647269,54.796600000000005,68.08640150497178,92.91746314514756,18.36815787582266,97.91444015444016,75.06016180485413,74.28350283502834,99.50827814569537,98.95348837209302,95.69586913864266,97.39285714285714,90.48868778280543,85.59843513677667,100.0,100.00000000000001,98.73076923076923,99.0,93.57627618766598,98.89796444215409,96.38405145813884,58.33789694689878,35.75531914893617,28.552272523710478,44.51832,59.46780821917807,47.38660937066815,96.53322992064203,67.90168543505563,89.86852768179449,82.12268226912741,62.97276298886931,84.28479376111535,83.49311568601435,69.14831526517328,61.03350236436522,92.29327831612393,80.06271601333579,74.17926291222209,82.52464875368479,66.41661253607643,88.70026005926272,96.00690413811674,45.66970436823194,77.84262029695792
France,6,98.70303712035995,98.68407616211041,77.4435483870968,96.74653431456443,96.67912087912087,95.94713656387665,66.22410865874363,76.34278481012659,26.595289491943564,71.54867256637168,99.44281082403796,98.48257839721255,95.14598540145985,97.09933222036727,97.55793780687398,98.0801393728223,86.84210526315789,98.06309148264984,83.83286908077994,95.88817891373805,96.63788354675042,97.15894039735099,87.95945945945947,82.984375,78.78293354305939,67.73684210526315,81.97018348623854,24.624365482233515,99.61190252033401,86.77615606936416,99.53137787539013,99.44926909169575,51.510029211295034,71.32673575224311,7.096846388606309,68.44919842312746,34.78226209581941,1.1875681570338088,68.18840867727968,79.79437124994757,64.86106122448979,68.04234527687296,78.02230483271374,100.0,98.5580035389064,2.2438396699711323,88.12,84.90410559221952,96.28121827411167,76.93353401078812,100.0,99.99999999999999,96.97769947816779,10.834966002074447,74.16587677725117,2.635837928554303,93.73710000106986,69.62071911712353,89.02913103996819,44.414809489575816,50.32394986781553,82.5053937161952,37.276758611587695,86.75550035486162,71.00874294880649,41.30263157894736,48.35817307692307,67.73739237392374,22.670398682042833,33.07630105743313,53.04137931034481,84.29158429468733,82.22033898305085,97.54411764705883,92.72081429164936,100.0,69.59087287382071,83.38970588235294,89.42991762356465,25.366548042704622,96.82259622625182,91.41516081841222,81.4,89.360836973521,56.4038286235187,88.371,93.99300432806163,98.9993118732312,18.504476275738586,79.64263,40.27008868583714,83.19075451115404,70.74942757693057,92.22671814671816,81.10528315849474,78.22374223742237,79.83940397350993,98.81395348837209,87.1181913525949,97.23214285714286,86.18823529411765,73.53012421250699,72.69305943358593,100.00000000000001,77.15384615384615,99.0,64.48096783712009,80.64635403246587,88.49751254015223,54.03787945061674,36.80851063829787,27.43638824477772,43.85502,65.50273972602739,33.337364846132516,91.61022055652238,78.69080726359817,86.40277652702453,68.72597526976394,60.016009903056265,78.14867158371383,76.95316637006056,60.5610606030512,54.37326717110659,88.01868030826567,86.42534826195575,75.74269832971045,74.96694811925785,73.21592378412798,85.02011484207881,83.94222423609378,43.49631715097538,74.03077487513984
Germany,18,98.76490438695163,98.74726092968834,59.08064516129033,96.74653431456443,99.0,94.63876651982379,65.04753820033955,78.34784810126582,28.10269061753141,62.7146017699115,99.40243479679435,98.56881533101046,95.86861313868613,97.34724540901503,97.81718494271686,98.77003484320558,80.32894736842104,96.18927444794953,87.69359331476323,89.87859424920129,94.84769267939116,98.5794701986755,91.97297297297298,90.71875,85.49842705465983,80.76315789473684,36.103211009174316,42.71573604060915,98.0824317441699,85.8214450867052,99.53137787539015,96.19077788422905,20.1145082765336,77.36273586199957,16.98677517802642,70.78825229960579,57.21608040201004,14.682660850599774,65.37599104658705,79.32601854571392,51.38089795918368,57.72312703583062,76.60276155071695,100.0,99.1721872167796,2.6398453953551138,97.03,82.27866273011463,99.65342201995449,94.65789207862784,100.0,99.99999999999999,94.37255251772892,14.953785870692636,75.65402843601895,2.6652697194917288,99.17808043308477,88.59601281594874,90.30378802942931,76.15744069015096,83.8102418486243,90.15096384454056,33.68958690774713,100.0,80.01763462335207,50.578947368421055,66.6610576923077,59.4840098400984,37.67599341021417,22.559817540949613,34.918330308529946,83.2238182227672,83.89830508474577,81.52941176470588,92.49512639417084,100.0,68.85465190129214,85.64863445378151,86.625,20.081850533807824,96.16236502863552,88.80823357303278,83.49451184286539,88.93609448309336,79.86782133090247,79.4925,92.49737322045894,98.78724313061814,38.62354521038496,85.78459000000001,42.771029293200755,52.95641469590368,17.07821917386258,94.68833976833977,78.55991679750393,81.24327243272432,98.36092715231787,99.0,89.37732593544895,97.71428571428571,88.4428371040724,70.30789934380546,74.50957319505383,100.00000000000001,91.11538461538461,99.0,79.13573325464739,90.35248647255862,93.12566893998132,58.30325430845945,62.08510638297872,28.552272523710474,47.18538,60.55273972602737,20.733785867757135,85.53093682597677,78.00005179002886,86.09774828795229,69.12159828985219,57.51524283143866,82.20457277726167,77.33158459710539,73.76640885324981,57.573634153616055,82.88384502407295,86.74960318731112,77.7108395417625,77.35016539036552,58.65571858626136,89.30828846359901,88.37038686397894,46.235423134822206,75.09597966742994
Norway,8,98.64116985376828,98.65248377832145,75.0483870967742,96.74653431456443,96.67912087912087,95.94713656387665,63.70288624787775,73.88658227848101,17.50127206846041,38.110619469026545,58.28348865188929,99.0,97.55474452554745,98.338898163606,98.33567921440262,98.88501742160278,92.92105263157895,98.37539432176656,91.55431754874652,94.62300319488816,96.41783039381492,99.01655629139071,95.9864864864865,96.90625,93.42076287848997,88.57894736842105,66.07568807339449,76.88832487309645,99.05573132900159,86.42898843930637,99.63523003121028,88.52949902648575,54.23914313534566,74.04320744880312,82.42278738555443,67.55156373193168,26.48125443973796,13.279171210468917,72.58721209965901,86.46554147610456,67.94824489795919,87.06840390879479,93.90015932023367,100.0,97.92138880497174,1.1083051803158601,64.64214999999999,78.33276137547759,97.12860143532293,52.82504697064593,100.0,99.99999999999999,98.46130859462112,52.57081940762935,73.15639810426539,2.4478542315991367,99.81782195166312,87.52812388750445,87.77908132829589,72.1718188353702,86.29663174385587,96.85971320482075,40.26844397518807,76.00532292405961,53.98797446166595,88.27631578947367,46.71394230769231,76.36961869618698,13.135736408566721,3.7950445780634445,42.720145190562604,98.89347113435599,92.28813559322035,95.84558823529412,97.84414048768016,100.0,60.72306839570894,70.95693277310924,91.79618072890663,0.0,91.24518712728683,80.12051593760947,81.00939726554978,86.89068651243056,21.56882406563355,79.25399999999999,88.90516373138797,56.99649797690731,76.48343777976723,55.69255000000001,77.3984144047299,78.12379027011879,58.018779583748305,92.57837837837837,51.745952378571346,56.3118531185312,91.14900662251655,98.69767441860465,92.61446985587658,98.51785714285714,87.71131221719457,94.96328406912075,83.39469485440765,100.00000000000001,96.1923076923077,99.0,78.1133077604013,99.0,95.16544772694907,69.91719884524538,95.78723404255318,27.068893245623634,99.0,80.6917808219178,46.106910174660385,90.78068024295465,67.60720505916213,93.11052666983724,75.37637832970853,70.20812215220336,70.27975053810486,87.75803200056262,72.74253286893631,53.81322575362801,95.67573165429015,82.3810354141246,64.66154166248812,75.40977487201562,72.36238252739507,78.10379127882007,93.20582114632381,69.76200285500006,77.06860607767067
Austria,14,98.45556805399325,98.45239868099138,67.06451612903226,96.74653431456443,96.67912087912087,95.94713656387665,68.7453310696095,79.60101265822784,24.244506977102763,71.47566371681417,84.0656008483044,98.74128919860627,96.1094890510949,97.51252086811353,97.84959083469722,98.49407665505227,83.36842105263158,96.50157728706624,84.66016713091922,92.72523961661341,95.24899734235322,98.25165562913908,81.27027027027027,84.53125,88.61285882815571,83.36842105263158,56.99311926605505,15.076142131979708,97.9326933465035,85.72797687861272,99.53137787539015,99.99999999999997,37.628821811100295,68.91179241400124,42.50050864699897,64.93411300919843,33.258544029045744,14.034896401308572,66.18264544066272,79.06328410187554,64.58628571428572,60.302931596091206,54.46840148698884,100.0,99.97116007077814,1.4518282192031693,94.06,83.1936992011115,98.10421844915106,93.68587244186756,100.0,99.99999999999999,94.91565942643058,32.353232684107404,75.78672985781989,2.378547111004555,98.1432667515433,82.84773940904236,89.59017697355338,67.11861969805895,74.53838245373544,87.90577303242252,35.82248911178567,93.25479063165366,57.862449937853896,55.868421052631575,69.34375,71.0049200492005,28.703690280065896,20.994660999377977,29.947368421052616,87.62866294637271,88.93220338983052,82.74264705882354,92.02160365600332,100.0,75.40976223743922,84.76470588235294,84.15988517224164,26.775800711743784,94.18620203040533,85.02159355490079,81.6842672828808,87.89322116162433,70.39197812215133,83.12174999999999,89.4010126030977,98.72913495375371,44.3401969561325,79.063282,40.78091910776673,74.92448883595712,21.301370735063074,97.91444015444016,66.96963908917267,71.50157501575018,83.93708609271523,98.97674418604652,91.49243859530415,98.19642857142857,89.60754298642534,89.10126356155249,91.49002792181889,100.00000000000001,87.3076923076923,99.0,97.76335202124521,89.42141200721464,89.53753184486605,53.2627504155367,23.117021276595743,28.552272523710485,47.92788,47.60136986301367,46.95003638757971,87.99082762133897,77.18811337845258,85.25382860090465,70.04731422342789,56.4397407902021,81.49525405458735,81.8172230276345,70.05763746496542,55.07083135160443,86.43450446500891,88.04901794394887,75.73042114799257,78.89802362824598,62.79690016664542,82.57549659579774,93.14252512222433,41.23522174440605,74.81689598235282
Czech Republic,2,98.62879640044994,98.58929901074353,97.40322580645162,96.74653431456443,96.64285714285714,78.93832599118943,58.82852292020373,81.45569620253164,21.34037468198288,63.88274336283185,60.06205265197085,98.9137630662021,96.83211678832117,97.59515859766277,98.12504091653028,98.54006968641114,67.73684210526315,91.81703470031546,82.72980501392757,84.18530351437701,92.78695337037932,99.78145695364238,95.9864864864865,79.890625,85.47896185607547,70.34210526315789,8.855504587155977,44.72588832487312,97.1641381013381,85.24823699421964,99.26931568604789,67.5038167938931,22.35735150925025,72.83528303439948,28.944659206510693,72.96339027595269,39.00178904996185,11.767720828789521,67.77627973139761,72.27580455670709,37.36734693877551,61.270358306188925,60.262241104620294,99.80619585963882,99.07498597384662,2.186585830156581,61.1425,92.91866967697118,96.32800630141782,89.10977999555547,100.0,97.14241174695765,93.96632621203337,10.583957589028465,82.79146919431278,3.4637257252457436,79.95511880944484,92.50808116767533,95.21540067607874,71.67361610352262,79.918290414178,81.15927267618638,35.834367163785146,68.06564939673527,37.47623043990949,58.63157894736842,39.76923076923076,45.71033210332104,3.6180362438220754,58.40959983412813,65.16733212341197,92.51908110407648,95.08474576271186,88.32352941176471,88.23236713431977,100.0,72.57233917250775,99.0,93.00093609585622,44.3914590747331,94.7339921070302,92.80429810644304,85.80932023878297,94.53011918244081,72.7383773928897,78.66675000000001,94.39453412091352,98.38401277163283,12.32990152193375,77.357512,38.01658156409568,65.05946416597445,32.303358557596525,98.17436293436293,92.3767713031391,92.20169201692019,96.39403973509933,98.83720930232558,96.31214899519588,98.35714285714286,95.25188687782806,71.57651037883028,63.23534104507378,100.00000000000001,60.653846153846146,99.0,90.12924166420774,77.22816284462768,72.43337341962436,46.21297349313271,7.319148936170214,28.552272523710474,40.696920000000006,50.5849315068493,47.84248076656501,98.20710707254837,69.7371384085165,82.0190068371048,65.03199785017485,51.78662524441315,77.22381766251236,75.42317388700486,72.217957441494,49.38416296978987,91.97578542618434,89.95117657670687,82.57264317116801,70.94379960362004,62.182255844405915,95.22437227053601,82.78655052411808,36.86812120440462,72.5123852730578
Netherlands,7,98.74015748031496,98.73673013509202,75.84677419354838,96.74653431456443,96.67912087912087,95.94713656387665,68.24108658743634,74.33772151898734,33.91858761853366,44.17035398230088,97.17771569567077,98.74128919860627,96.1094890510949,97.18196994991652,98.14124386252045,98.77003484320558,84.23684210526315,96.81388012618297,88.52089136490251,91.77635782747609,97.13698961101716,100.0,91.97297297297298,95.359375,93.08985450255602,88.57894736842105,49.27293577981652,52.76649746192894,99.59051132066739,86.7628034682081,99.5926020113282,99.20449979911606,52.934566699123664,79.17371699303959,55.62665310274668,69.65124835742444,50.24083769633507,11.119956379498348,66.78841286111751,80.14122225485671,54.87216326530612,64.49511400651465,83.0695698353691,100.0,97.5582193258815,1.8048935647262372,100.0,82.0475824939215,99.91508839488884,95.13790177579347,100.0,99.99999999999999,93.3437402435217,6.11144404748185,77.02843601895734,2.4070294893310953,99.70449025880237,88.05678177287291,88.22201232849473,80.28540618260246,94.63306570057769,95.09137707846227,36.97109674013462,94.16820440028391,72.5862981101208,71.46052631578947,44.31249999999999,63.48892988929891,45.93849752883031,3.557277628032344,40.727767695099814,95.36563149070344,85.01694915254238,98.75735294117646,92.48985331245406,100.0,76.42949687640734,72.9905462184874,90.61613829256116,16.206405693950188,94.81587230795729,87.48505140832012,72.7109955709609,86.87644933398047,73.09936189608023,76.356,91.3062579960258,98.96534868843038,80.92972247090421,81.64738,35.3613276001075,67.6510073159259,-1.4210854715202004e-14,94.9788416988417,90.71352140564215,93.42534425344253,91.6407284768212,98.90697674418605,88.98210298396373,98.03571428571429,87.45731674208145,80.6654717812526,89.83147187873953,100.00000000000001,93.65384615384615,99.0,68.21038654470345,97.9668899768101,95.5036615662136,56.722683929664946,54.712765957446805,28.552272523710474,21.766140000000007,5.988821917808195,93.6166005336845,91.10788726965178,75.90228214506136,89.32173947211064,76.9752710497766,60.081073100443724,82.35195507931594,74.86379607275087,75.76246025023408,56.83024753860525,93.04664452814076,85.47747410183719,74.54432492911576,86.8893322888401,55.92771132297503,92.73373477281113,91.03247589293612,43.55988081038583,76.80796161800322
Estonia,101,98.85151856017998,98.76832251888096,15.967741935483872,96.06880027383194,96.67912087912087,95.94713656387665,66.89643463497453,76.69367088607594,15.497764243312004,54.610619469026545,25.488060523256998,98.39634146341463,98.27737226277372,98.25626043405676,96.8936170212766,96.47038327526133,59.05263157894737,93.37854889589906,82.17827298050139,79.75718849840254,95.05870983329307,99.34437086092716,83.94594594594595,78.34375,66.03322847031066,67.99736842105264,2.2706422018348604,50.75634517766499,95.60258052567409,84.27349710982661,99.92704600624208,79.11811972679791,44.432327166504365,100.0,93.54811800610376,99.0,100.0,19.648854961832058,78.33320084513522,76.04651114001594,47.40473469387756,18.703583061889262,78.07488050982475,99.53648509763616,99.0888718656942,1.8860031711301852,69.90400000000001,92.56620354289684,88.44682303518292,94.91389725044954,100.0,92.92074826511113,93.75438205254002,20.738388844070528,87.98104265402843,4.14255574202829,97.96320705260567,81.29348522605909,95.77152515410619,72.1718188353702,66.70116518163125,89.77146699045691,59.08961330341825,55.20759403832505,34.67238906653352,43.19736842105263,29.622596153846157,46.50184501845018,2.8110313014827017,40.90379431888866,76.17931034482754,80.42929356122218,81.10169491525424,16.014705882352928,98.0814291649356,100.0,69.01127033799466,86.19170168067227,91.30810034947578,49.6761565836299,83.63279967449611,88.15820163600024,82.08503755054882,94.3058836218519,59.111212397447595,64.30275,93.68309878324305,98.9999954124882,19.021486123545213,97.86754,62.72534264982532,97.69313143646353,68.93700779316788,97.91444015444016,94.83105493164794,93.59265592655927,98.85264900662251,98.74418604651163,98.56291021043373,95.78571428571429,89.72714932126696,71.23224046969716,76.85919425608294,100.00000000000001,83.5,99.0,99.0,93.32427209482093,74.32135544408754,40.89965882250022,8.372340425531915,28.552272523710478,33.140249999999995,84.08219178082192,48.639290788744105,71.19586100484828,65.98520093418443,79.20064572479781,88.43352094901654,53.035294202095805,78.04889770899855,76.85337979043041,72.28925712083274,47.79570089572816,59.18189811960978,88.32110029590064,78.32534168763576,69.00183257981912,85.02749240677937,96.916691224355,88.27499258716698,40.61433405688478,73.25382076381833
